Symbol,Type,Sector,Mcap
FIEMIND,Fiem Industries,Auto Components Companies,
SHARDAMOTR,Sharda Motor,Auto Components Companies,
SJS,SJS Enterprises,Auto Components Companies,
LUMAXIND,Lumax Industries,Auto Components Companies,
JAMNAAUTO,Jamna Auto Inds.,Auto Components Companies,
JTEKTINDIA,JTEKT India,Auto Components Companies,
TVSSRICHAK,TVS Srichakra,Auto Components Companies,
SANDHAR,Sandhar Tech,Auto Components Companies,
CARRARO,Carraro India,Auto Components Companies,
SSWL,Steel Str. Wheel,Auto Components Companies,
ROLEXRINGS,Rolex Rings,Auto Components Companies,
AUTOAXLES,Automotive Axles,Auto Components Companies,
NRBBEARING,NRB Bearings,Auto Components Companies,
SUNCLAY,Sundaram Clayton,Auto Components Companies,
FMGOETZE,Federal-Mogul Go,Auto Components Companies,
RAJRATAN,Rajratan Global,Auto Components Companies,
UNIPARTS,Uniparts India,Auto Components Companies,
STUDDS,Studds Accessor.,Auto Components Companies,
RML,Rane (Madras),Auto Components Companies,
WHEELS,Wheels India,Auto Components Companies,
NDRAUTO,NDR Auto Compon.,Auto Components Companies,
GOODYEAR,Goodyear India,Auto Components Companies,
INDNIPPON,India Nipp.Elec.,Auto Components Companies,
DIVGIITTS,Divgi Torq,Auto Components Companies,
TALBROAUTO,Talbros Auto.,Auto Components Companies,
MMFL,M M Forgings,Auto Components Companies,
522195,Frontier Springs,Auto Components Companies,
PRECAM,Precision Camshf,Auto Components Companies,
RICOAUTO,Rico Auto Inds,Auto Components Companies,
ALICON,Alicon Cast.,Auto Components Companies,
IGARASHI,Igarashi Motors,Auto Components Companies,
GNA,GNA Axles,Auto Components Companies,
IMPAL,India Motor Part,Auto Components Companies,
HITECHGEAR,The Hi-Tech Gear,Auto Components Companies,
RACLGEAR,RACL Geartech,Auto Components Companies,
BHARATSE,Bharat Seats,Auto Components Companies,
505036,Auto.Corp.of Goa,Auto Components Companies,
KROSS,Kross Ltd,Auto Components Companies,
538992,Sar Auto Prod.,Auto Components Companies,
STERTOOLS,Sterling Tools,Auto Components Companies,
515043,Saint-Gob. Sekur,Auto Components Companies,
508807,IST,Auto Components Companies,
JAYBARMARU,Jay Bharat Maru.,Auto Components Companies,
533477,Enkei Wheels,Auto Components Companies,
OBSCP,OBSC Perfection,Auto Components Companies,
ASAL,Automotive Stamp,Auto Components Companies,
MUNJALAU,Munjal Auto Inds,Auto Components Companies,
505163,Z F Steering,Auto Components Companies,
500240,Kinetic Engg.,Auto Components Companies,
HINDCOMPOS,Hind.Composites,Auto Components Companies,
MENONBE,Menon Bearings,Auto Components Companies,
TOLINS,Tolins Tyres,Auto Components Companies,
505232,Veljan Denison,Auto Components Companies,
MUNJALSHOW,Munjal Showa,Auto Components Companies,
MAXVOLT,Maxvolt Energy,Auto Components Companies,
544347,CLN Energy,Auto Components Companies,
517286,RNIT AI Solution,Auto Components Companies,
513532,Pradeep Metals,Auto Components Companies,
REMSONSIND,Remsons Ind,Auto Components Companies,
PAVNAIND,Pavna Industries,Auto Components Companies,
513252,Jay Ushin,Auto Components Companies,
SHIVAMAUTO,Shivam Autotech,Auto Components Companies,
505978,Triton Valves,Auto Components Companies,
509162,Indag Rubber,Auto Components Companies,
AUTOIND,Autoline Industr,Auto Components Companies,
PPAP,PPAP Automotive,Auto Components Companies,
SINTERCOM,Sintercom India,Auto Components Companies,
538987,Talbros Engg.,Auto Components Companies,
531727,Menon Pistons,Auto Components Companies,
544166,Emmforce Auto.,Auto Components Companies,
SUNDRMBRAK,Sundaram Brake,Auto Components Companies,
531399,G G Automotive,Auto Components Companies,
MODIRUBBER,Modi Rubber,Auto Components Companies,
UCAL,Ucal,Auto Components Companies,
TCL,Thaai,Auto Components Companies,
PRITIKAUTO,Pritika Auto,Auto Components Companies,
505681,Bimetal Bearings,Auto Components Companies,
533007,LGB Forge,Auto Components Companies,
505712,Him Teknoforg.,Auto Components Companies,
SETCO,Setco Automotive,Auto Components Companies,
GOLDSTAR,Goldstar Power,Auto Components Companies,
PRITIKA,Pritika Engineer,Auto Components Companies,
ETML,Emerald Tyre,Auto Components Companies,
523248,Machino Plastics,Auto Components Companies,
544616,Gallard Steel,Auto Components Companies,
URAVIDEF,Uravi Defence &,Auto Components Companies,
JMA,Jullundur Motor,Auto Components Companies,
OMAXAUTO,Omax Autos,Auto Components Companies,
542013,Dolfin Rubbers,Auto Components Companies,
504908,Duncan Engg.,Auto Components Companies,
BHARATGEAR,Bharat Gears,Auto Components Companies,
504646,Bhagwati Auto,Auto Components Companies,
530621,Akar Auto Indust,Auto Components Companies,
523638,IP Rings,Auto Components Companies,
505827,SNL Bearings,Auto Components Companies,
505893,Hindustan Hardy,Auto Components Companies,
507998,Simm. Marshall,Auto Components Companies,
FORGEAUTO,Forge Auto,Auto Components Companies,
520075,Samkrg Pistons,Auto Components Companies,
544082,New Swan,Auto Components Companies,
