symbol,Symbol,Sector,mcap
KEI,A,KEI----Kei Industries,39052.92
ASTRAL,A,ASTRAL----Astral https,39033.46
CONCOR,A,CONCOR----Concor Corpn.,38933.91
JUBLFOOD,A,JUBLFOOD----Jublfood Food.,38838.62
PWL,A,PWL----Pwl https,38675.58
UCOBANK,A,UCOBANK----Ucobank Bank,38496.45
PIRAMALFIN,A,PIRAMALFIN----Piramalfin Finance.,38428.77
POONAWALLA,A,POONAWALLA----Poonawalla Fin,38299.54
FLUOROCHEM,A,FLUOROCHEM----Fluorochem Fluoroch,38214.67
ENDURANCE,A,ENDURANCE----Endurance Tech.,38107.51
TATAINVEST,A,TATAINVEST----Tatainvest Inv.Corpn.,37956.97
DALBHARAT,A,DALBHARAT----Dalbharat BharatLtd,37675.3
KPRMILL,A,KPRMILL----Kprmill P R Mill Ltd,37214.84
APARINDS,A,APARINDS----Aparinds Inds.,36840.35
IPCALAB,A,IPCALAB----Ipcalab Labs.,36666.76
BLUESTARCO,A,BLUESTARCO----Bluestarco Star,36476.61
ANTHEM,A,ANTHEM----Anthem Bioscienc,35648.58
AWL,A,AWL----Awl Agri Busine.,35624.2
GODREJIND,A,GODREJIND----Godrejind Industrie,35352.56
AIAENG,A,AIAENG----Aiaeng Engineering,34892.64
CHOLAHLDNG,A,CHOLAHLDNG----Cholahldng Financial,34622.61
CENTRALBK,A,CENTRALBK----Centralbk Bank,34431.53
ACC,A,ACC----Acc https,34405.04
THERMAX,A,THERMAX----Thermax https,34387
NLCINDIA,A,NLCINDIA----Nlcindia India,34069.24
ASTERDM,A,ASTERDM----Asterdm DM Health.,33708.49
CDSL,A,CDSL----Cdsl D S L,33653.18
TATAELXSI,A,TATAELXSI----Tataelxsi Elxsi,33086.37
CRISIL,A,CRISIL----Crisil https,33075.15
MEDANTA,A,MEDANTA----Medanta Health,32986.05
APOLLOTYRE,A,APOLLOTYRE----Apollotyre Tyres,32555.12
GODIGIT,A,GODIGIT----Godigit Digit General,32354.14
GRSE,A,GRSE----Grse Reach Sh.,32267.04
MSUMI,A,MSUMI----Msumi Wiring,32077.81
KPITTECH,A,KPITTECH----Kpittech Technologi.,32066.11
EXIDEIND,A,EXIDEIND----Exideind Inds.,31913.13
SJVN,A,SJVN----Sjvn https,31835.35
SONACOMS,A,SONACOMS----Sonacoms BLW Precis.,31297.31
DELHIVERY,A,DELHIVERY----Delhivery https,31279.64
METROBRAND,A,METROBRAND----Metrobrand Brands,31142.77
AJANTPHARM,A,AJANTPHARM----Ajantpharm Pharma,31028.06
NAVINFLUOR,A,NAVINFLUOR----Navinfluor Fluo.Intl.,30601.26
NBCC,A,NBCC----Nbcc https,30415.19
HINDCOPPER,A,HINDCOPPER----Hindcopper Copper,30388.35
HONAUT,A,HONAUT----Honaut Auto,30136.37
LICHSGFIN,A,LICHSGFIN----Lichsgfin Housing Fin.,30025.24
MRPL,A,MRPL----Mrpl R P L,29848.39
GLAND,A,GLAND----Gland Pharma,29824.17
TVSHLTD,A,TVSHLTD----Tvshltd Holdings,29250.62
AEGISVOPAK,A,AEGISVOPAK----Aegisvopak Vopak Term,28929.84
STARHEALTH,A,STARHEALTH----Starhealth Health Insu,28916.64
NIACL,A,NIACL----Niacl India Assura,28780.3
ITI,A,ITI----Iti https,28620.54
MINDSPACE,A,MINDSPACE----Mindspace Busine,28436.04
IGL,A,IGL----Igl Gas,28197.41
NHIT,A,NHIT----Nhit High,27987.5
GUJGASLTD,A,GUJGASLTD----Gujgasltd Gas,27429.08
TATATECH,A,TATATECH----Tatatech Technolog.,27206.95
JBCHEPHARM,A,JBCHEPHARM----Jbchepharm B Chemicals &,27157.12
PINELABS,A,PINELABS----Pinelabs Labs,27106.31
GILLETTE,A,GILLETTE----Gillette India,26968.14
IKS,A,IKS----Iks Knowl,26944.74
AEGISLOG,A,AEGISLOG----Aegislog Logistics,26881
KIMS,A,KIMS----Kims Institu.,26805.34
ATHERENERG,A,ATHERENERG----Atherenerg Energy,26407.13
IRB,A,IRB----Irb Infra.Devl.,26390.32
LALPATHLAB,A,LALPATHLAB----Lalpathlab Lal Pathlabs,26346.68
NUVAMA,A,NUVAMA----Nuvama Wealth,26304.31
PTCIL,A,PTCIL----Ptcil Industries,25813.02
EMCURE,A,EMCURE----Emcure Pharma,25636.1
FSL,A,FSL----Fsl Solu.,25406.91
SYNGENE,A,SYNGENE----Syngene Intl.,25358.96
AMBER,A,AMBER----Amber Enterp.,25311.02
ASAHIINDIA,A,ASAHIINDIA----Asahiindia India Glas,25050.68
PPLPHARMA,A,PPLPHARMA----Pplpharma Pharma,25032.45
ANGELONE,A,ANGELONE----Angelone One,24954.43
HBLENGINE,A,HBLENGINE----Hblengine Engineering,24877.64
ZFCVINDIA,A,ZFCVINDIA----Zfcvindia Commercial,24628.99
NXST,A,NXST----Nxst Select,24261.33
AFFLE,A,AFFLE----Affle i,24185.22
BANDHANBNK,A,BANDHANBNK----Bandhanbnk Bank,24016.43
KARURVYSYA,A,KARURVYSYA----Karurvysya Vysya Bank,23914.58
RAMCOCEM,A,RAMCOCEM----Ramcocem Ramco Cement,23876.14
INOXWIND,A,INOXWIND----Inoxwind Wind,23806.49
ANANDRATHI,A,ANANDRATHI----Anandrathi Rathi Wea.,23721.02
MANAPPURAM,A,MANAPPURAM----Manappuram Fin.,23463.02
EIHOTEL,A,EIHOTEL----Eihotel https,23422.99
HATSUN,A,HATSUN----Hatsun Agro,23302.88
PNBHOUSING,A,PNBHOUSING----Pnbhousing Housing,23111.02
TIMKEN,A,TIMKEN----Timken India,23083.57
DEEPAKNTR,A,DEEPAKNTR----Deepakntr Nitrite,23063.48
SHYAMMETL,A,SHYAMMETL----Shyammetl Metalics,23005.39
IIFL,A,IIFL----Iifl Finance,22951.3
PFIZER,A,PFIZER----Pfizer https,22923.11
WELCORP,A,WELCORP----Welcorp Corp,22886.21
CESC,A,CESC----Cesc https,22764.94
SAGILITY,A,SAGILITY----Sagility https,22704.11
ERIS,A,ERIS----Eris Lifescience,22668.61
JYOTICNC,A,JYOTICNC----Jyoticnc CNC Auto.,22571.74
SUMICHEM,A,SUMICHEM----Sumichem Chemi.,22561.28
COHANCE,A,COHANCE----Cohance Life,22546.62
ASTRAZEN,A,ASTRAZEN----Astrazen Phar,22524.01
EMAMILTD,A,EMAMILTD----Emamiltd https,22448.78
FORCEMOT,A,FORCEMOT----Forcemot Motors,22270.47
REDINGTON,A,REDINGTON----Redington https,22238.55
HSCL,A,HSCL----Hscl Special,22211.65
ANANTRAJ,A,ANANTRAJ----Anantraj Raj,21966.91
BRIGADE,A,BRIGADE----Brigade Enterpr.,21958.79
ECLERX,A,ECLERX----Eclerx Services,21892.29
CREDITACC,A,CREDITACC----Creditacc Gram.,21691.63
KIOCL,A,KIOCL----Kiocl https,21433.18
WOCKPHARMA,A,WOCKPHARMA----Wockpharma https,21310.82
NEULANDLAB,A,NEULANDLAB----Neulandlab Labs.,21298.36
ABSLAMC,A,ABSLAMC----Abslamc AMC,21212.6
SUNTV,A,SUNTV----Suntv TV Network,21144.61
PSB,A,PSB----Psb & Sind Bank,21095.32
KPIL,A,KPIL----Kpil Proj.,21033.23
BIRET,A,BIRET----Biret India,20967.87
AADHARHFC,A,AADHARHFC----Aadharhfc Hsg. Fin.,20933.59
URBANCO,A,URBANCO----Urbanco Company,20710.95
TATACHEM,A,TATACHEM----Tatachem Chemicals,20635.56
BAYERCROP,A,BAYERCROP----Bayercrop Crop Sci.,20463.29
SUNDRMFAST,A,SUNDRMFAST----Sundrmfast Fasten.,19993.77
DCMSHRIRAM,A,DCMSHRIRAM----Dcmshriram Shriram,19718.3
CHALET,A,CHALET----Chalet Hotels,19591.51
CPPLUS,A,CPPLUS----Cpplus Infotech,19572.06
CAMS,A,CAMS----Cams Services,19554.5
CUB,A,CUB----Cub Union Bank,19479.85
ABREL,A,ABREL----Abrel B Real Estate,19459.47
JSWHL,A,JSWHL----Jswhl Holdings,19277.37
TENNIND,A,TENNIND----Tennind Clean,19191.52
RBLBANK,A,RBLBANK----Rblbank Bank,19153.12
BASF,A,BASF----Basf India,19033.61
POLYMED,A,POLYMED----Polymed Medicure,18997.37
KANSAINER,A,KANSAINER----Kansainer Nerolac,18812.77
NETWEB,A,NETWEB----Netweb Technol.,18730.95
CASTROLIND,A,CASTROLIND----Castrolind India,18694.43
ONESOURCE,A,ONESOURCE----Onesource Speci.,18664.26
KEC,A,KEC----Kec International,18614.03
TBOTEK,A,TBOTEK----Tbotek Tek,18590.67
CUBEINVIT,A,CUBEINVIT----Cubeinvit Highways,18548.16
OLAELEC,A,OLAELEC----Olaelec Electric,18476.97
CHAMBLFERT,A,CHAMBLFERT----Chamblfert Fert.,18387.91
KFINTECH,A,KFINTECH----Kfintech Technolog.,18366.68
CGCL,A,CGCL----Cgcl Global,18304.76
FIVESTAR,A,FIVESTAR----Fivestar Star Bus.Fi,18221.33
ABDL,A,ABDL----Abdl Blenders,18177.14
EIDPARRY,A,EIDPARRY----Eidparry Parry,18126.62
SAILIFE,A,SAILIFE----Sailife Life,18099
DEEPAKFERT,A,DEEPAKFERT----Deepakfert Fertilis.,17910.55
INDIGRID,A,INDIGRID----Indigrid Trust,17897.75
BIKAJI,A,BIKAJI----Bikaji Foods,17896.81
DEVYANI,A,DEVYANI----Devyani Intl.,17791.53
TRAVELFOOD,A,TRAVELFOOD----Travelfood Food,17773.45
APLLTD,A,APLLTD----Aplltd Pharma,17724.13
SCHNEIDER,A,SCHNEIDER----Schneider Elect.,17712.78
ATUL,A,ATUL----Atul https,17584.6
ARE&M,A,ARE&M----Are&M Raja Ener.,17462.37
SARDAEN,A,SARDAEN----Sardaen Energy,17268.44
CROMPTON,A,CROMPTON----Crompton Gr. Con,17215.06
KAJARIACER,A,KAJARIACER----Kajariacer Ceramics,17162.43
TRITURBINE,A,TRITURBINE----Triturbine Turbine,17134.12
JSWCEMENT,A,JSWCEMENT----Jswcement Cement,16960.26
DATAPATTNS,A,DATAPATTNS----Datapattns Pattern,16942.99
KIRLOSENG,A,KIRLOSENG----Kirloseng Oil,16922.14
JUBLPHARMA,A,JUBLPHARMA----Jublpharma Pharmo,16849.97
PGEL,A,PGEL----Pgel Electroplast,16848.5
GRINDWELL,A,GRINDWELL----Grindwell Norton,16836.06
VENTIVE,A,VENTIVE----Ventive Hospital,16823.07
GSPL,A,GSPL----Gspl St.Petronet,16819.19
CENTURYPLY,A,CENTURYPLY----Centuryply Plyboard,16762.21
MAHSCOOTER,A,MAHSCOOTER----Mahscooter Scooters,16734.33
GPIL,A,GPIL----Gpil Power,16721.37
VERTIS,A,VERTIS----Vertis Infra.,16609.82
FIRSTCRY,A,FIRSTCRY----Firstcry Solut.,16543.09
VINATIORGA,A,VINATIORGA----Vinatiorga Organics,16534.1
LMW,A,LMW----Lmw https,16398.2
SOBHA,A,SOBHA----Sobha https,16340.6
CHOICEIN,A,CHOICEIN----Choicein Intl.,16305.09
ZENSARTECH,A,ZENSARTECH----Zensartech Tech.,16132.14
SYRMA,A,SYRMA----Syrma SGS Tech.,16122.4
EMMVEE,A,EMMVEE----Emmvee Photovol.,16113.63
RATNAMANI,A,RATNAMANI----Ratnamani Metals,16081.32
CRAFTSMAN,A,CRAFTSMAN----Craftsman Auto,16077.64
RPOWER,A,RPOWER----Rpower Power,16063.33
BEML,A,BEML----Beml Ltd,15848.93
CIEINDIA,A,CIEINDIA----Cieindia Automotive,15749.28
CEATLTD,A,CEATLTD----Ceatltd https,15690.39
SIGNATURE,A,SIGNATURE----Signature https,15688.74
GESHIP,A,GESHIP----Geship Shipping Co,15672.22
AGARWALEYE,A,AGARWALEYE----Agarwaleye Agarwal's Hea,15631.47
ABLBL,A,ABLBL----Ablbl B Lifestyle,15608.08
ELGIEQUIP,A,ELGIEQUIP----Elgiequip Equipments,15608.01
CARBORUNIV,A,CARBORUNIV----Carboruniv Uni.,15578
GMDCLTD,A,GMDCLTD----Gmdcltd M D C,15539.4
NATCOPHARM,A,NATCOPHARM----Natcopharm Pharma,15489.42
AKZOINDIA,A,AKZOINDIA----Akzoindia Nobel,15445.89
NAVA,A,NAVA----Nava https,15381.84
DOMS,A,DOMS----Doms Industries,15293.01
RRKABEL,A,RRKABEL----Rrkabel R Kabel,15288.35
IRCON,A,IRCON----Ircon Intl.,15265.49
CHENNPETRO,A,CHENNPETRO----Chennpetro P C L,15261.44
INTELLECT,A,INTELLECT----Intellect Design,15197.9
VGUARD,A,VGUARD----Vguard Guard Industri,15097.49
WHIRLPOOL,A,WHIRLPOOL----Whirlpool India,14980.35
CONCORDBIO,A,CONCORDBIO----Concordbio Biotech,14950.07
MANYAVAR,A,MANYAVAR----Manyavar Fashions,14783.36
JAINREC,A,JAINREC----Jainrec Resource,14776.66
UTIAMC,A,UTIAMC----Utiamc AMC,14758.13
GABRIEL,A,GABRIEL----Gabriel India,14642.55
CAPLIPOINT,A,CAPLIPOINT----Caplipoint Point Lab,14603.38
JBMA,A,JBMA----Jbma Auto,14526.8
TRIDENT,A,TRIDENT----Trident https,14467.39
CARTRADE,A,CARTRADE----Cartrade Tech,14455.03
ACMESOLAR,A,ACMESOLAR----Acmesolar Solar Hold.,14434.02
SWANCORP,A,SWANCORP----Swancorp Corp,14405.15
AFCONS,A,AFCONS----Afcons Infrastr.,14372.85
BELRISE,A,BELRISE----Belrise Industri,14349.29
GALLANTT,A,GALLANTT----Gallantt Ispat L,14332.13
MINDACORP,A,MINDACORP----Mindacorp Corp,14243.03
LTFOODS,A,LTFOODS----Ltfoods T Foods,14218.26
ANURAS,A,ANURAS----Anuras Rasayan,14216.91
IFCI,A,IFCI----Ifci https,14145.23
IGIL,A,IGIL----Igil Ge,14052.76
INDIAMART,A,INDIAMART----Indiamart Inter.,14051.57
ZYDUSWELL,A,ZYDUSWELL----Zyduswell Wellness,14043.41
THELEELA,A,THELEELA----Theleela Palaces Hotels,13988.24
NIVABUPA,A,NIVABUPA----Nivabupa Bupa Health,13962.25
AARTIIND,A,AARTIIND----Aartiind Industries,13948.99
