Symbol,Type,Sector,Name,Mar Cap
NCC,A,,Ncc https,11021.93
ENGINERSIN,A,,Enginersin India,10999.22
RAILTEL,A,,Railtel Corpn.,10985.69
EMBDL,A,,Embdl Develop,10978.2
SANOFICONR,A,,Sanoficonr Consumer,10948.35
AZAD,A,,Azad Engineering,10934
OLECTRA,A,,Olectra Greentec,10902.39
GRAPHITE,A,,Graphite India,10824.1
PVRINOX,A,,Pvrinox Inox,10749
BSOFT,A,,Bsoft Ltd,10631.83
EDELWEISS,A,,Edelweiss Fin.,10582.35
GRINFRA,A,,Grinfra R Infraproject,10573.83
JINDALSAW,A,,Jindalsaw Saw,10495.94
UJJIVANSFB,A,,Ujjivansfb Small,10495.08
INOXINDIA,A,,Inoxindia India,10434.19
VIKRAMSOLR,A,,Vikramsolr Solar,10408.79
SANOFI,A,,Sanofi India,10393.89
VIJAYA,A,,Vijaya Diagnost.,10332.67
HFCL,A,,Hfcl https,10329.72
HCG,A,,Hcg Global,10196.72
RELAXO,A,,Relaxo Footwear,10164.22
METROPOLIS,A,,Metropolis Healt,10139.22
BANCOINDIA,A,,Bancoindia Products,10127.34
TI,A,,Ti Inds.,10123.1
GENUSPOWER,A,,Genuspower Power,10106.99
PRUDENT,A,,Prudent Corp.,10075.12
VARROC,A,,Varroc Engineer,10036.61
SONATSOFTW,A,,Sonatsoftw Software,10026.87
SANSERA,A,,Sansera Enginee.,10004.8
SOUTHBANK,A,,Southbank Ind.Bank,9996.43
LATENTVIEW,A,,Latentview View,9985.9
TTML,A,,Ttml Tele. Mah.,9952.54
JKLAKSHMI,A,,Jklakshmi Lakshmi Cem.,9879.09
SANDUMA,A,,Sanduma Manganese,9854.28
TIMETECHNO,A,,Timetechno Technoplast,9741.91
CLEAN,A,,Clean Science,9737.89
HEG,A,,Heg https,9732.51
RKFORGE,A,,Rkforge Forg.,9698.59
PGHL,A,,Pghl & G Health Ltd,9694.36
SKFINDIA,A,,Skfindia India,9691.8
VESUVIUS,A,,Vesuvius India,9691.43
BLUEJET,A,,Bluejet Jet Health,9629.17
NAZARA,A,,Nazara Technolo.,9611.71
HAPPYFORGE,A,,Happyforge Forgings,9574.49
INDIASHLTR,A,,Indiashltr SHELTE FIN,9558.75
RHIM,A,,Rhim Magnesita,9550.76
KRBL,A,,Krbl https,9511.65
ASKAUTOLTD,A,,Askautoltd Automotive,9496.34
JLHL,A,,Jlhl Life Lin,9460.29
GRWRHITECH,A,,Grwrhitech Hi Tech,9435
ZEEL,A,,Zeel Entertainmen,9415.98
THANGAMAYL,A,,Thangamayl Jew.,9409.51
IIFLCAPS,A,,Iiflcaps Capital,9394.94
ABFRL,A,,Abfrl Bir. Fas.,9367.18
MMTC,A,,Mmtc https,9352.77
HONASA,A,,Honasa Consumer,9336.4
MAPMYINDIA,A,,Mapmyindia E. Info System,9322.94
ASTRAMICRO,A,,Astramicro Microwave,9274.67
MEDPLUS,A,,Medplus Health,9197.54
TARIL,A,,Taril R I L,9154.86
TTKPRESTIG,A,,Ttkprestig Prestige,9137.62
ORKLAINDIA,A,,Orklaindia India,9127.67
ARVIND,A,,Arvind Ltd,9121.51
APOLLO,A,,Apollo Micro Sys,9120.29
LUMAXTECH,A,,Lumaxtech Auto Tech.,9100.82
BALRAMCHIN,A,,Balramchin Chini,9093.68
STARCEMENT,A,,Starcement Cement,9081.68
GMRP&UI,A,,Gmrp&Ui Urban,9058.14
CUPID,A,,Cupid https,9027.87
ALKYLAMINE,A,,Alkylamine Amines,8954.53
TEJASNET,A,,Tejasnet Networks,8918.3
KPIGREEN,A,,Kpigreen Green Energy,8867.55
BIRLACORPN,A,,Birlacorpn Corpn.,8805.25
TCI,A,,Tci Corp.,8783.54
BBOX,A,,Bbox Box,8774.28
NESCO,A,,Nesco https,8710.32
ESABINDIA,A,,Esabindia India,8707.36
LLOYDSENT,A,,Lloydsent Enterpris,8698.22
MARKSANS,A,,Marksans Pharma,8693.91
PGINVIT,A,,Pginvit Infra.,8691.4
TRANSRAILL,A,,Transraill Light,8683
WABAG,A,,Wabag Tech Wabag,8677.69
JSLL,A,,Jsll Sikho,8603.97
BLUESTONE,A,,Bluestone Jewel,8601.88
GPPL,A,,Gppl Pipavav Port,8598.45
WESTLIFE,A,,Westlife Food,8574.93
PNGJL,A,,Pngjl N Gadgil Jewe.,8571.98
INOXGREEN,A,,Inoxgreen Green,8548.85
SHAKTIPUMP,A,,Shaktipump Pumps,8510.71
V2RETAIL,A,,V2Retail Retail,8503.48
ALOKINDS,A,,Alokinds Industries,8440.96
RELIGARE,A,,Religare Enterp.,8339.91
WEWORK,A,,Wework India,8317.44
MAHLIFE,A,,Mahlife Life.,8313.33
LOTUSDEV,A,,Lotusdev Lotus,8310.75
BORORENEW,A,,Bororenew Renew.,8278.1
STAR,A,,Star Pharma,8246.35
SAPPHIRE,A,,Sapphire Foods,8199.97
VOLTAMP,A,,Voltamp Transform.,8174.69
THYROCARE,A,,Thyrocare Tech.,8152.32
RATEGAIN,A,,Rategain Travel,8082.9
RCF,A,,Rcf C F,8076.72
SUDARSCHEM,A,,Sudarschem Chem.,8063.39
PGIL,A,,Pgil Global Ind,8018.72
MTARTECH,A,,Mtartech Technologie,8010.74
CAMPUS,A,,Campus Activewe.,7965.14
BECTORFOOD,A,,Bectorfood Bectors,7956.01
TRIVENI,A,,Triveni Engg.Ind.,7918.64
TMB,A,,Tmb N Merc. Bank,7861.39
MANORAMA,A,,Manorama Indust.,7850.68
PRICOLLTD,A,,Pricolltd Ltd,7770.22
ETHOSLTD,A,,Ethosltd Ltd,7770.14
PCJEWELLER,A,,Pcjeweller Jeweller,7761.06
MAHSEAMLES,A,,Mahseamles Seamless,7673.72
TANLA,A,,Tanla Platforms,7663.82
DIACABS,A,,Diacabs Power,7614.2
HAPPSTMNDS,A,,Happstmnds Minds,7565.78
LLOYDSENGG,A,,Lloydsengg Engineeri,7555.08
KIRLFER,A,,Kirlfer Ferrous,7542.57
POWERMECH,A,,Powermech Mech Proj.,7499.3
MAXESTATES,A,,Maxestates Estates,7489.1
GSFC,A,,Gsfc S F C,7476.46
THOMASCOOK,A,,Thomascook Cook (I),7469.63
ATLANTAELE,A,,Atlantaele Electric,7424.38
KALPATARU,A,,Kalpataru https,7358.36
WELENT,A,,Welent Enterp,7357.38
DBREALTY,A,,Dbrealty Estate,7350.95
AJAXENGG,A,,Ajaxengg Engineering,7336.51
YATHARTH,A,,Yatharth Hospit.,7321.79
GALAXYSURF,A,,Galaxysurf Surfact.,7313.39
EQUITASBNK,A,,Equitasbnk Sma. Fin,7308.88
GNFC,A,,Gnfc N F C,7230.95
SAREGAMA,A,,Saregama India,7221.98
DODLA,A,,Dodla Dairy,7221.16
SHARDACROP,A,,Shardacrop Cropchem,7220.64
CERA,A,,Cera Sanitary.,7213.48
CSBBANK,A,,Csbbank Bank,7179.5
JAYNECOIND,A,,Jaynecoind Neco,7155.23
BALUFORGE,A,,Baluforge Forge,7151.07
KTKBANK,A,,Ktkbank Bank,7137.02
GARFIBRES,A,,Garfibres Tech.,7122.83
REDTAPE,A,,Redtape https,7092.6
KIRLPNU,A,,Kirlpnu Pneumatic,7080.59
PRSMJOHNSN,A,,Prsmjohnsn Johnson,7050.63
IMFA,A,,Imfa Metals,7043.54
MASTEK,A,,Mastek https,7031.97
OSWALPUMPS,A,,Oswalpumps Pumps,6995.48
INDIAGLYCO,A,,Indiaglyco Glycols,6983.82
AVL,A,,Avl Vision,6983.81
DBL,A,,Dbl Buildcon,6971.58
NETWORK18,A,,Network18 Media,6945.17
ASHAPURMIN,A,,Ashapurmin Minech.,6935.4
IFBIND,A,,Ifbind Industries,6877.57
GOKEX,A,,Gokex Exports,6872.06
SHILPAMED,A,,Shilpamed Medicare,6854.21
RAYMONDLSL,A,,Raymondlsl Lifestyl,6837.42
RELINFRA,A,,Relinfra Infra.,6819.45
RUSTOMJEE,A,,Rustomjee Realtor,6758.59
PNCINFRA,A,,Pncinfra Infratech,6714.89
ARVINDFASN,A,,Arvindfasn Fashions.,6698.64
1285775,A,,1285775 Pharma,6697.85
MHRIL,A,,Mhril Holiday,6684.28
GANESHHOU,A,,Ganeshhou Housing,6683.85
FDC,A,,Fdc https,6680.19
ACI,A,,Aci Chemical,6672.98
AKUMS,A,,Akums Drugs,6631.01
MOIL,A,,Moil https,6625.54
AHLUCONT,A,,Ahlucont Contr.,6621.72
SFL,A,,Sfl Foam,6617.29
HNDFDS,A,,Hndfds Foods,6593.57
KOVAI,A,,Kovai Medical,6549.39
AVALON,A,,Avalon Tech,6544.09
MIDHANI,A,,Midhani Dhatu Nig,6475.42
TIPSMUSIC,A,,Tipsmusic Music,6445.93
UTLSOLAR,A,,Utlsolar Power,6401.85
EPL,A,,Epl Ltd,6367.19
JUSTDIAL,A,,Justdial Dial,6363.96
SHREMINVIT,A,,Shreminvit InvIT,6352.78
VMART,A,,Vmart Mart Retail,6338.38
GREENLAM,A,,Greenlam Industr,6326.36
JAIBALAJI,A,,Jaibalaji Balaji Inds.,6311.18
AARTIPHARM,A,,Aartipharm Pharma,6291.36
SMARTWORKS,A,,Smartworks Cowor,6286
JKPAPER,A,,Jkpaper Paper,6274.67
DYNAMATECH,A,,Dynamatech Tech.,6266.08
EPIGRAL,A,,Epigral https,6257.67
SUPRAJIT,A,,Suprajit Engg.,6256.39
AXISCADES,A,,Axiscades Tech.,6254.77
ICIL,A,,Icil Count Inds.,6249.73
ISGEC,A,,Isgec Heavy,6187.31
PRAJIND,A,,Prajind Industries,6152.18
PICCADIL,A,,Piccadil Agro,6132.53
INDIGOPNTS,A,,Indigopnts Paints,6114.75
SUNTECK,A,,Sunteck Realty,6104.19
CRAMC,A,,Cramc Robeco,6090.13
RTNINDIA,A,,Rtnindia Ent,6066.75
QPOWER,A,,Qpower Power El,6053.89
SEQUENT,A,,Sequent Scien.,6050.53
SUPRIYA,A,,Supriya Lifesci.,5985.33
DCBBANK,A,,Dcbbank Bank,5981.8
SYMPHONY,A,,Symphony https,5978.57
RENUKA,A,,Renuka Renuka Sugar,5957.59
FIEMIND,A,,Fiemind Industries,5941.74
AURIONPRO,A,,Aurionpro Sol.,5921.7
ICRA,A,,Icra https,5908.86
PILANIINVS,A,,Pilaniinvs Invest.,5894.28
GOKULAGRO,A,,Gokulagro Agro,5864.48
CMSINFO,A,,Cmsinfo Info Systems,5837.91
PARAS,A,,Paras Defence,5812.79
GULFOILLUB,A,,Gulfoillub Oil Lubric.,5794.56
LGBBROSLTD,A,,Lgbbrosltd G Balakrishnan,5777.42
MASFIN,A,,Masfin FINANC SER,5754.79
PURVA,A,,Purva https,5743.92
ELLEN,A,,Ellen Indl.Gas,5722.53
GHCL,A,,Ghcl https,5715.91
BAJAJELEC,A,,Bajajelec Electrical,5626.54
HGINFRA,A,,Hginfra G. Infra Engg.,5606.67
INFIBEAM,A,,Infibeam Avenues,5604.13
SURYAROSNI,A,,Suryarosni Roshni,5603.83
DHANUKA,A,,Dhanuka Agritech,5594.14
PDSL,A,,Pdsl https,5584.89
TIIL,A,,Tiil Inds.,5579.94
SUBROS,A,,Subros https,5545.99
KINGFA,A,,Kingfa Science,5522.39
SAATVIKGL,A,,Saatvikgl Green,5515.9
RAJESHEXPO,A,,Rajeshexpo Exports,5504.31
SKIPPER,A,,Skipper https,5476.94
SWANDEF,A,,Swandef Defence,5458.13
SKYGOLD,A,,Skygold Gold & Diam.,5448.12
RTNPOWER,A,,Rtnpower Pow.,5434.55
SJS,A,,Sjs Enterprises,5425.25
VIPIND,A,,Vipind I P Inds.,5395.83
JUNIPER,A,,Juniper Hotels,5376.76
FEDFINA,A,,Fedfina Financi.,5354.71
GMMPFAUDLR,A,,Gmmpfaudlr Pfaudler,5349.85
SWSOLAR,A,,Swsolar & Wils.,5334.35
SHARDAMOTR,A,,Shardamotr Motor,5305.38
TEXRAIL,A,,Texrail Rail,5296.15
INDOTHAI,A,,Indothai Thai Sec.,5291.45
KENNAMET,A,,Kennamet India,5251.37
SENCO,A,,Senco Gold,5247.99
KSCL,A,,Kscl Seed Co.,5244.73
INDUSINVIT,A,,Indusinvit Inf. Trust,5240.49
ORIANA,A,,Oriana Power Ltd,5238.79
KRN,A,,Krn Heat Exchan,5166.48
STLTECH,A,,Stltech Tech.,5164.15
STYL,A,,Styl Tech.,5135.55
ZOTA,A,,Zota Health Care,5111.35
ZAGGLE,A,,Zaggle Prepaid,5103.85
DATAMATICS,A,,Datamatics Glob.,5092.47
IONEXCHANG,A,,Ionexchang Exchange,5088.26
RESPONIND,A,,Responind Ind,5078.77
LXCHEM,A,,Lxchem Organic,5069.3
GAEL,A,,Gael Ambuja Exp,5043.26
EMUDHRA,A,,Emudhra https,5035.13
TVSSCS,A,,Tvsscs Supply,5025.49
ITDC,A,,Itdc T D C,5020.55
ASHOKA,A,,Ashoka Buildcon,5017.02
BANSALWIRE,A,,Bansalwire Wire Inds,5005.08
E2E,A,,E2E E Networks,4987.45
UNIMECH,A,,Unimech Aero.,4982.19
MANINFRA,A,,Maninfra Infra,4969.15
SPICEJET,A,,Spicejet https,4963.12
NIITMTS,A,,Niitmts Learning,4947.4
AGI,A,,Agi Greenpac,4925.44
IBULLSLTD,A,,Ibullsltd https,4885.85
PACEDIGITK,A,,Pacedigitk Digitek,4875
OPTIEMUS,A,,Optiemus Infra.,4867.45
RALLIS,A,,Rallis India,4863.67
SHILCTECH,A,,Shilctech Tech.,4849.84
CHEMPLASTS,A,,Chemplasts Sanmar,4845.51
SHREEJISPG,A,,Shreejispg Ship. Gl,4836.97
PTC,A,,Ptc India,4820.49
WEBELSOLAR,A,,Webelsolar Energy,4819.21
IRBINVIT,A,,Irbinvit InvIT Fund,4816.88
EMIL,A,,Emil Mart,4812.38
CAPILLARY,A,,Capillary Tech.,4810.26
RPEL,A,,Rpel Product.,4805.18
SHOPERSTOP,A,,Shoperstop Stop,4796.39
GREAVESCOT,A,,Greavescot Cotton,4772.77
RSYSTEMS,A,,Rsystems Systems Intl.,4765.6
JCHAC,A,,Jchac Con. Hit,4763.69
CIGNITITEC,A,,Cignititec Tech.,4755.36
NDRINVIT,A,,Ndrinvit INVIT Trust,4752.15
INDIQUBE,A,,Indiqube Spaces,4737.47
JSFB,A,,Jsfb Small Finan,4734.92
INDRAMEDCO,A,,Indramedco Medical,4729.62
VRLLOG,A,,Vrllog Logistics,4725.04
CRIZAC,A,,Crizac https,4706.06
LUMAXIND,A,,Lumaxind Industries,4688.92
ELECTCAST,A,,Electcast Cast.,4654.36
ANUP,A,,Anup Anup Enginee,4626.83
ENTERO,A,,Entero Healthcar,4624.54
KNRCON,A,,Knrcon Construct.,4605.84
PRECWIRE,A,,Precwire Wires (I),4600.29
JKIL,A,,Jkil Kumar Infra,4581.54
DBCORP,A,,Dbcorp B Corp,4565.86
SIS,A,,Sis https,4564.2
BANARISUG,A,,Banarisug Amm.Sug.,4563.57
SWARAJENG,A,,Swarajeng Engines,4552.29
VSTTILLERS,A,,Vsttillers Till. Tract.,4543.48
CARERATING,A,,Carerating Ratings,4534.42
HUBTOWN,A,,Hubtown https,4529.17
ARSSBL,A,,Arssbl Rathi Shar,4514.26
GUJTHEM,A,,Gujthem Themis Bio.,4497
SUNFLAG,A,,Sunflag Iron,4456.81
REFEX,A,,Refex Industries,4447.15
KITEX,A,,Kitex Garments,4426.3
SPARC,A,,Sparc https,4407.76
ARTEMISMED,A,,Artemismed Medicare,4405.08
GOLDIAM,A,,Goldiam Intl.,4402.65
ORCHPHARMA,A,,Orchpharma Pharma,4398.35
SGMART,A,,Sgmart Mart,4397.42
MIDWESTLTD,A,,Midwestltd https,4379.75
HCC,A,,Hcc Construct.,4370.41
INNOVACAP,A,,Innovacap Captab,4354.27
BHARATRAS,A,,Bharatras Rasayan,4354.26
NFL,A,,Nfl Fertilizer,4346.53
HERITGFOOD,A,,Heritgfood Foods,4287.79
VSTIND,A,,Vstind Industries,4282.21
RAMKY,A,,Ramky Infra,4242.03
PARAGMILK,A,,Paragmilk Milk Foods,4234.23
ROUTE,A,,Route Mobile,4219.9
JAMNAAUTO,A,,Jamnaauto Auto Inds.,4217.01
CEIGALL,A,,Ceigall India,4203.71
UEL,A,,Uel Energy,4195.81
NORTHARC,A,,Northarc ARC,4165.07
GOPAL,A,,Gopal Snacks,4152.37
SANATHAN,A,,Sanathan Textile,4144.74
INTERARCH,A,,Interarch Build.,4140.07
JTEKTINDIA,A,,Jtektindia India,4131.76
HEIDELBERG,A,,Heidelberg Cem.,4110.34
AVANTEL,A,,Avantel https,4104.39
POCL,A,,Pocl Oxides,4092.23
MOSCHIP,A,,Moschip Tech.,4065
AARTIDRUGS,A,,Aartidrugs Drugs,4062.63
SAMHI,A,,Samhi Hotels,4044.78
GUJALKALI,A,,Gujalkali Alkalies,4009.07
SUVEN,A,,Suven Life Scie.,4004.7
VAIBHAVGBL,A,,Vaibhavgbl Global,4004.7
SMLMAH,A,,Smlmah Mahindra,4000.27
TARC,A,,Tarc Ltd,3988.89
HEMIPROP,A,,Hemiprop Prop,3943.66
BOROLTD,A,,Boroltd https,3937.2
AJMERA,A,,Ajmera Realty,3905.07
AWFIS,A,,Awfis Space,3898.35
ORIENTELEC,A,,Orientelec Electric,3883.07
TRUALT,A,,Trualt Bioenergy,3848.14
BALAMINES,A,,Balamines Amines,3823.44
VADILALIND,A,,Vadilalind Inds.,3809.48
GOODLUCK,A,,Goodluck India,3803.79
MARATHON,A,,Marathon Nextgen,3797.05
BAJAJCON,A,,Bajajcon Consumer,3794.78
KIRLOSIND,A,,Kirlosind Indus.,3789.87
RAIN,A,,Rain Industries,3773.56
SENORES,A,,Senores Pharma.,3761.12
DCAL,A,,Dcal Carbogen,3738.25
EIEL,A,,Eiel Infra,3736.13
RPGLIFE,A,,Rpglife LifeScience.,3725.47
EBGNG,A,,Ebgng Electronics,3702.21
NACLIND,A,,Naclind Industries,3688.81
DPABHUSHAN,A,,Dpabhushan P. Abhushan,3682.13
GRAUWEIL,A,,Grauweil & Weil,3679.44
UFLEX,A,,Uflex https,3665.8
MANGCHEFER,A,,Mangchefer Chem.,3659.31
CENTUM,A,,Centum Electron,3657.2
HARSHA,A,,Harsha Engg Intl,3646.77
ORIENTCEM,A,,Orientcem Cement,3639.31
SHANTIGEAR,A,,Shantigear Gears,3633.26
SHAREINDIA,A,,Shareindia India Sec.,3627.79
WONDERLA,A,,Wonderla Holiday,3611.11
TVSSRICHAK,A,,Tvssrichak Srichakra,3603.96
EUROPRATIK,A,,Europratik Pratik Sale,3603.96
GREENPLY,A,,Greenply Industr,3603.63
RBA,A,,Rba Brand,3600.33
MCLOUD,A,,Mcloud Cloud,3594.67
STYRENIX,A,,Styrenix Perfor.,3577.26
SEITINVIT,A,,Seitinvit Ener,3564
ADVENZYMES,A,,Advenzymes Enzyme,3556.33
MPSLTD,A,,Mpsltd https,3544.18
GUFICBIO,A,,Guficbio BioScience,3538.59
GKENERGY,A,,Gkenergy Energy,3534.6
LUXIND,A,,Luxind Industries,3518.68
PSPPROJECT,A,,Pspproject Projects,3512.78
MBAPL,A,,Mbapl B Agro Prod.,3503.76
NSIL,A,,Nsil Sons Invst,3498.15
JUBLCPL,A,,Jublcpl Agri,3491.97
SINDHUTRAD,A,,Sindhutrad Trade,3490.89
CYIENTDLM,A,,Cyientdlm DLM,3473.86
KOLTEPATIL,A,,Koltepatil Patil Dev.,3470.67
NAVNETEDUL,A,,Navnetedul Educat.,3465.35
SIYSIL,A,,Siysil Silk,3460.28
MSTCLTD,A,,Mstcltd https,3458.67
MEDIASSIST,A,,Mediassist Assist Ser.,3447.78
KSL,A,,Ksl Steels,3440.86
TATVA,A,,Tatva Chintan,3418.87
ROSSARI,A,,Rossari Biotech,3406.48
RAYMONDREL,A,,Raymondrel Realty,3402.29
AGIIL,A,,Agiil Infra,3395.24
63MOONS,A,,63Moons Tech.,3392.07
MANINDS,A,,Maninds Industries,3375.89
STYLAMIND,A,,Stylamind Industrie,3356.33
KMEW,A,,Kmew Marine,3351.19
PROTEAN,A,,Protean eGov,3349.59
FOSECOIND,A,,Fosecoind India,3334.48
JINDWORLD,A,,Jindworld Worldwide,3333.8
JISLJALEQS,A,,Jisljaleqs Irrigation,3328.93
UNIVCABLES,A,,Univcables Cables,3319.79
DHANI,A,,Dhani Services,3316.86
MARINE,A,,Marine Electric.,3312.73
RAYMOND,A,,Raymond https,3303.68
BBL,A,,Bbl Bijlee,3299.01
NEOGEN,A,,Neogen Chemicals,3274.15
UNICHEMLAB,A,,Unichemlab Labs.,3274.13
PITTIENG,A,,Pittieng Engg.,3270.81
HLEGLAS,A,,Hleglas Glascoat,3268.67
VISHNU,A,,Vishnu Chemicals,3267.32
PRINCEPIPE,A,,Princepipe Pipes,3257.1
BALMLAWRIE,A,,Balmlawrie Lawrie,3250.13
BHAGCHEM,A,,Bhagchem Chem.,3249.53
GREENPANEL,A,,Greenpanel Inds.,3238.52
SGLTL,A,,Sgltl Glass,3237.5
KIRIINDUS,A,,Kiriindus Industries,3209.76
SABTNL,A,,Sabtnl Adhik. Bros.,3192.14
MAHLOG,A,,Mahlog Logis.,3187.12
FLAIR,A,,Flair Writing,3167.66
KDDL,A,,Kddl Ltd,3162.97
GLOBUSSPR,A,,Globusspr Spirits,3158.02
PAISALO,A,,Paisalo Digital,3148.77
KKCL,A,,Kkcl Kir.Cloth.,3137.3
SANDHAR,A,,Sandhar Tech,3131.76
QUESS,A,,Quess Corp,3127.22
SAMBHV,A,,Sambhv Steel,3121.46
EPACKPEB,A,,Epackpeb PrefabTech,3112.36
INDOSTAR,A,,Indostar Capital,3111.48
SSWL,A,,Sswl Str. Wheel,3111.08
NPST,A,,Npst People,3104.7
KRISHANA,A,,Krishana Phosch.,3102.11
ARKADE,A,,Arkade https,3097.42
DEEPINDS,A,,Deepinds Industries,3071.67
DDEVPLSTIK,A,,Ddevplstik Plastiks,3070.9
BGRENERGY,A,,Bgrenergy Energy Sys.,3039.07
ASHIANA,A,,Ashiana Housing,3033.48
ALPEXSOLAR,A,,Alpexsolar Solar,3027.23
BOMDYEING,A,,Bomdyeing Dyeing,3008.88
PENIND,A,,Penind Industrie,2995.15
PREMEXPLN,A,,Premexpln Explosives,2990.37
TFCILTD,A,,Tfciltd Fin. Corp.,2989.47
GATEWAY,A,,Gateway Distri,2987.86
GRMOVER,A,,Grmover Overseas,2986.31
BRIGHOTEL,A,,Brighotel Hotel,2984.8
SANGHVIMOV,A,,Sanghvimov Movers,2970.41
ORISSAMINE,A,,Orissamine Minerals,2965.1
PARKHOTELS,A,,Parkhotels Surrend.,2963.11
SIRCA,A,,Sirca Paints,2962.6
CARRARO,A,,Carraro India,2944.65
JASH,A,,Jash Engineering,2934.5
TIRUMALCHM,A,,Tirumalchm Chem.,2921.28
RELTD,A,,Reltd Energy,2909.21
POKARNA,A,,Pokarna https,2908.32
CAMLINFINE,A,,Camlinfine Fine,2903.51
MUTHOOTMF,A,,Muthootmf Microfin,2898.03
VEEDOL,A,,Veedol Corporat,2893.94
PATELENG,A,,Pateleng Engineerin,2890.3
GOCOLORS,A,,Gocolors Fashion (I),2888.43
SAGCEM,A,,Sagcem Cements,2887.09
UTKARSHBNK,A,,Utkarshbnk Small F.,2882.9
HINDWAREAP,A,,Hindwareap Home In,2861.77
RAMCOIND,A,,Ramcoind Inds.,2849.77
SUNDROP,A,,Sundrop Brands,2840.1
RAMRAT,A,,Ramrat Ratna Wires,2839.51
NOCIL,A,,Nocil https,2835.57
FMGOETZE,A,,Fmgoetze Mogul Go,2834.72
CARYSIL,A,,Carysil https,2822.6
NRBBEARING,A,,Nrbbearing Bearings,2816.6
FCL,A,,Fcl Chem,2816.35
SAKSOFT,A,,Saksoft https,2809.99
TCPLPACK,A,,Tcplpack Packaging,2807.11
ROLEXRINGS,A,,Rolexrings Rings,2792.29
WSTCSTPAPR,A,,Wstcstpapr Coast Paper,2788.63
MAITHANALL,A,,Maithanall Alloys,2781.4
YATRA,A,,Yatra Online,2780.44
IMAGICAA,A,,Imagicaa Enter.,2780.07
HPL,A,,Hpl Electric,2777.96
TEAMLEASE,A,,Teamlease Lease Serv.,2774.5
HIKAL,A,,Hikal https,2771.83
VIKRAN,A,,Vikran Engg.,2769.44
PRABHA,A,,Prabha Energy,2755.3
ROADSTAR,A,,Roadstar Infra,2732.86
VIMTALABS,A,,Vimtalabs Labs,2723.73
POLYPLEX,A,,Polyplex Corpn,2722.99
VSSL,A,,Vssl Special,2711.89
ARVSMART,A,,Arvsmart SmartSp.,2703.63
EFCIL,A,,Efcil I),2688.52
EASEMYTRIP,A,,Easemytrip Trip Plann.,2684.06
SUNCLAY,A,,Sunclay Clayton,2683.66
RPSGVENT,A,,Rpsgvent Ventures,2682.15
IOLCP,A,,Iolcp Chemicals,2656.36
VENUSPIPES,A,,Venuspipes Pipes,2654.52
KRSNAA,A,,Krsnaa Diagnost.,2653.97
KPEL,A,,Kpel P. Energy,2653.6
FISCHER,A,,Fischer Medical,2647.11
BAJAJHIND,A,,Bajajhind Hindusthan,2646.7
ROSSTECH,A,,Rosstech Techsys,2644.54
SMSPHARMA,A,,Smspharma Pharma.,2641.91
GIPCL,A,,Gipcl Inds. Power,2629
BCG,A,,Bcg Group,2621.27
REPCOHOME,A,,Repcohome Home Fin,2579.37
SOLARWORLD,A,,Solarworld Ene.,2564.1
DALMIASUG,A,,Dalmiasug Bharat,2545.97
KALAMANDIR,A,,Kalamandir Silks,2544.59
JAICORPLTD,A,,Jaicorpltd Corp,2543.07
SBCL,A,,Sbcl Bimetal,2542.16
ALEMBICLTD,A,,Alembicltd https,2529.31
EMSLIMITED,A,,Emslimited https,2524.95
SOTL,A,,Sotl Oil Tech,2513.61
TAJGVK,A,,Tajgvk Hotels,2512.45
HIRECT,A,,Hirect Rectifiers,2499.75
JTLIND,A,,Jtlind Industries,2498.2
EPACK,A,,Epack Durable,2492.36
UGROCAP,A,,Ugrocap Capital,2490.29
HONDAPOWER,A,,Hondapower India,2488.4
NUCLEUS,A,,Nucleus Soft.,2474.91
LAOPALA,A,,Laopala Opala RG,2469.41
DIAMONDYD,A,,Diamondyd Snacks,2456.51
MTNL,A,,Mtnl T N L,2455.79
SHK,A,,Shk H Kelkar & Co.,2453.95
WINDMACHIN,A,,Windmachin Machines,2453.78
BFUTILITIE,A,,Bfutilitie Utilities,2435.8
AUTOAXLES,A,,Autoaxles Axles,2435.69
MONARCH,A,,Monarch Networth,2431.29
CAPACITE,A,,Capacite Infra.,2414.98
DREDGECORP,A,,Dredgecorp Corpn.,2413.19
FILATEX,A,,Filatex India,2405.66
MOREPENLAB,A,,Morepenlab Labs.,2402.44
XPROINDIA,A,,Xproindia India,2398.54
SOLARA,A,,Solara Active,2395.12
EVEREADY,A,,Eveready Inds.,2392.95
PRAKASH,A,,Prakash Industri,2385.84
INDOCO,A,,Indoco Remedies,2377.8
GVPIL,A,,Gvpil Power,2361.8
TCIEXP,A,,Tciexp Express,2353.51
GMBREW,A,,Gmbrew M Breweries,2351.17
SHALBY,A,,Shalby https,2347.87
JINDALPOLY,A,,Jindalpoly Poly Film,2330.12
HGS,A,,Hgs Global,2329.46
WAAREEINDO,A,,Waareeindo https,2316.91
AEROFLEX,A,,Aeroflex https,2315.8
FINOPB,A,,Finopb Payments,2313.89
HATHWAY,A,,Hathway Cable,2308.24
ADFFOODS,A,,Adffoods Foods,2304.79
KICL,A,,Kicl Invest.,2301.73
KCP,A,,Kcp C P,2300.75
BEPL,A,,Bepl Engg.,2296.98
SUMMITSEC,A,,Summitsec Securitie,2296.1
SIMPLEXINF,A,,Simplexinf Infra,2285.09
WEL,A,,Wel Electric.,2281.4
SEAMECLTD,A,,Seamecltd Ltd,2269.81
