Symbol,Type,Sector
ETHOSLTD,A,Financial Services-Consumer Discretionary
PCJEWELLER,A,Financial Services-Consumer Discretionary
MAHSEAMLES,A,Financial Services-Industrials
TANLA,A,Financial Services-Information Technology
DIACABS,A,Financial Services-Industrials
HAPPSTMNDS,A,Financial Services-Information Technology
LLOYDSENGG,A,Oil & Gas-Industrials
KIRLFER,A,Financial Services-Commodities
POWERMECH,A,Oil & Gas-Industrials
MAXESTATES,A,Financial Services-Consumer Discretionary
GSFC,A,Financial Services-Commodities
THOMASCOOK,A,Financial Services-Consumer Discretionary
ATLANTAELE,A,Financial Services-Industrials
KALPATARU,A,Financial Services-Consumer Discretionary
WELENT,A,Oil & Gas-Industrials
DBREALTY,A,Financial Services-Consumer Discretionary
AJAXENGG,A,Financial Services-Industrials
YATHARTH,A,Financial Services-Healthcare
GALAXYSURF,A,Financial Services-Commodities
EQUITASBNK,A,Financial Services-Financial Services
GNFC,A,Financial Services-Commodities
SAREGAMA,A,Financial Services-Consumer Discretionary
DODLA,A,Financial Services-Fast Moving Consumer Goods
SHARDACROP,A,Financial Services-Commodities
CERA,A,Financial Services-Consumer Discretionary
CSBBANK,A,Financial Services-Financial Services
JAYNECOIND,A,Financial Services-Industrials
BALUFORGE,A,Financial Services-Industrials
KTKBANK,A,Financial Services-Financial Services
GARFIBRES,A,Financial Services-Consumer Discretionary
REDTAPE,A,Financial Services-Consumer Discretionary
KIRLPNU,A,Oil & Gas-Industrials
PRSMJOHNSN,A,Financial Services-Commodities
IMFA,A,Financial Services-Commodities
MASTEK,A,Financial Services-Information Technology
OSWALPUMPS,A,Financial Services-Industrials
INDIAGLYCO,A,Financial Services-Fast Moving Consumer Goods
AVL,A,Financial Services-Consumer Discretionary
DBL,A,Financial Services-Industrials
NETWORK18,A,Financial Services-Consumer Discretionary
ASHAPURMIN,A,Financial Services-Commodities
IFBIND,A,Financial Services-Consumer Discretionary
GOKEX,A,Financial Services-Consumer Discretionary
SHILPAMED,A,Financial Services-Healthcare
RAYMONDLSL,A,Financial Services-Consumer Discretionary
RELINFRA,A,Financial Services-Utilities
RUSTOMJEE,A,Financial Services-Consumer Discretionary
PNCINFRA,A,Financial Services-Industrials
ARVINDFASN,A,Financial Services-Consumer Discretionary
MHRIL,A,Financial Services-Consumer Discretionary
GANESHHOU,A,Financial Services-Consumer Discretionary
FDC,A,Financial Services-Healthcare
ACI,A,Financial Services-Commodities
AKUMS,A,Financial Services-Healthcare
MOIL,A,Financial Services-Commodities
AHLUCONT,A,Financial Services-Industrials
SFL,A,Financial Services-Consumer Discretionary
HNDFDS,A,Financial Services-Fast Moving Consumer Goods
KOVAI,A,Financial Services-Healthcare
AVALON,A,Financial Services-Industrials
MIDHANI,A,Financial Services-Industrials
TIPSMUSIC,A,Financial Services-Consumer Discretionary
UTLSOLAR,A,Financial Services-Industrials
EPL,A,Financial Services-Industrials
JUSTDIAL,A,Financial Services-Consumer Discretionary
SHREMINVIT,A,Information Technology-Industrials
VMART,A,Financial Services-Consumer Discretionary
GREENLAM,A,Financial Services-Consumer Discretionary
JAIBALAJI,A,Financial Services-Commodities
AARTIPHARM,A,Financial Services-Healthcare
SMARTWORKS,A,Financial Services-Services
JKPAPER,A,Financial Services-Commodities
DYNAMATECH,A,Financial Services-Industrials
EPIGRAL,A,Financial Services-Commodities
SUPRAJIT,A,Financial Services-Consumer Discretionary
AXISCADES,A,Financial Services-Industrials
ICIL,A,Financial Services-Consumer Discretionary
ISGEC,A,Financial Services-Industrials
PRAJIND,A,Financial Services-Industrials
PICCADIL,A,Financial Services-Fast Moving Consumer Goods
INDIGOPNTS,A,Financial Services-Consumer Discretionary
SUNTECK,A,Financial Services-Consumer Discretionary
CRAMC,A,Financial Services-Financial Services
RTNINDIA,A,Financial Services-Consumer Discretionary
QPOWER,A,Financial Services-Industrials
SEQUENT,A,Financial Services-Healthcare
SUPRIYA,A,Financial Services-Healthcare
DCBBANK,A,Financial Services-Financial Services
SYMPHONY,A,Financial Services-Consumer Discretionary
RENUKA,A,Financial Services-Fast Moving Consumer Goods
FIEMIND,A,Financial Services-Consumer Discretionary
AURIONPRO,A,Financial Services-Information Technology
ICRA,A,Financial Services-Financial Services
PILANIINVS,A,Financial Services-Financial Services
GOKULAGRO,A,Financial Services-Fast Moving Consumer Goods
CMSINFO,A,Financial Services-Services
PARAS,A,Financial Services-Industrials
GULFOILLUB,A,Oil & Gas-Energy
LGBBROSLTD,A,Financial Services-Consumer Discretionary
MASFIN,A,Financial Services-Financial Services
PURVA,A,Financial Services-Consumer Discretionary
ELLEN,A,Financial Services-Commodities
GHCL,A,Financial Services-Commodities
BAJAJELEC,A,Financial Services-Consumer Discretionary
HGINFRA,A,Financial Services-Industrials
INFIBEAM,A,Financial Services-Financial Services
SURYAROSNI,A,Financial Services-Industrials
DHANUKA,A,Financial Services-Commodities
PDSL,A,Financial Services-Consumer Discretionary
TIIL,A,Financial Services-Industrials
SUBROS,A,Financial Services-Industrials
KINGFA,A,Financial Services-Industrials
SAATVIKGL,A,Financial Services-Industrials
RAJESHEXPO,A,Financial Services-Consumer Discretionary
SKIPPER,A,Financial Services-Industrials
SWANDEF,A,Financial Services-Industrials
SKYGOLD,A,Financial Services-Consumer Discretionary
RTNPOWER,A,Financial Services-Utilities
SJS,A,Financial Services-Consumer Discretionary
VIPIND,A,Financial Services-Consumer Discretionary
JUNIPER,A,Financial Services-Consumer Discretionary
FEDFINA,A,Financial Services-Financial Services
GMMPFAUDLR,A,Financial Services-Industrials
SWSOLAR,A,Financial Services-Industrials
SHARDAMOTR,A,Financial Services-Consumer Discretionary
TEXRAIL,A,Financial Services-Industrials
INDOTHAI,A,Financial Services-Financial Services
KENNAMET,A,Financial Services-Industrials
SENCO,A,Financial Services-Consumer Discretionary
KSCL,A,Financial Services-Fast Moving Consumer Goods
INDUSINVIT,A,Information Technology-Services
ORIANA,A,Financial Services-Industrials
KRN,A,Financial Services-Industrials
STLTECH,A,Financial Services-Telecommunication
STYL,A,Financial Services-Financial Services
ZOTA,A,Financial Services-Healthcare
ZAGGLE,A,Financial Services-Information Technology
DATAMATICS,A,Financial Services-Information Technology
IONEXCHANG,A,Financial Services-Utilities
RESPONIND,A,Financial Services-Consumer Discretionary
LXCHEM,A,Financial Services-Commodities
GAEL,A,Financial Services-Fast Moving Consumer Goods
EMUDHRA,A,Financial Services-Information Technology
TVSSCS,A,Financial Services-Services
ITDC,A,Financial Services-Consumer Discretionary
ASHOKA,A,Financial Services-Industrials
BANSALWIRE,A,Financial Services-Industrials
E2E,A,Financial Services-Information Technology
UNIMECH,A,Financial Services-Industrials
MANINFRA,A,Financial Services-Industrials
SPICEJET,A,Financial Services-Services
NIITMTS,A,Financial Services-Consumer Discretionary
AGI,A,Financial Services-Industrials
IBULLSLTD,A,Financial Services-Services
PACEDIGITK,A,Financial Services-Telecommunication
OPTIEMUS,A,Financial Services-Telecommunication
RALLIS,A,Financial Services-Commodities
SHILCTECH,A,Financial Services-Industrials
CHEMPLASTS,A,Financial Services-Commodities
SHREEJISPG,A,Financial Services-Services
PTC,A,Financial Services-Utilities
WEBELSOLAR,A,Financial Services-Industrials
IRBINVIT,A,Information Technology-Services
EMIL,A,Financial Services-Consumer Discretionary
CAPILLARY,A,Information Technology-Information Technology
RPEL,A,Financial Services-Industrials
SHOPERSTOP,A,Financial Services-Consumer Discretionary
GREAVESCOT,A,Financial Services-Industrials
RSYSTEMS,A,Financial Services-Information Technology
JCHAC,A,Financial Services-Consumer Discretionary
CIGNITITEC,A,Financial Services-Information Technology
NDRINVIT,A,Information Technology-Services
INDIQUBE,A,Financial Services-Services
JSFB,A,Financial Services-Financial Services
INDRAMEDCO,A,Financial Services-Healthcare
VRLLOG,A,Financial Services-Services
CRIZAC,A,Financial Services-Consumer Discretionary
LUMAXIND,A,Financial Services-Consumer Discretionary
ELECTCAST,A,Financial Services-Industrials
ANUP,A,Oil & Gas-Industrials
ENTERO,A,Financial Services-Consumer Discretionary
KNRCON,A,Financial Services-Industrials
PRECWIRE,A,Financial Services-Industrials
JKIL,A,Financial Services-Industrials
DBCORP,A,Financial Services-Consumer Discretionary
SIS,A,Financial Services-Consumer Discretionary
BANARISUG,A,Financial Services-Fast Moving Consumer Goods
SWARAJENG,A,Financial Services-Industrials
VSTTILLERS,A,Financial Services-Industrials
CARERATING,A,Financial Services-Financial Services
HUBTOWN,A,Financial Services-Consumer Discretionary
ARSSBL,A,Financial Services-Financial Services
GUJTHEM,A,Financial Services-Healthcare
SUNFLAG,A,Financial Services-Industrials
REFEX,A,Financial Services-Commodities
KITEX,A,Financial Services-Consumer Discretionary
SPARC,A,Financial Services-Healthcare
ARTEMISMED,A,Financial Services-Healthcare
GOLDIAM,A,Financial Services-Consumer Discretionary
ORCHPHARMA,A,Financial Services-Healthcare
SGMART,A,Financial Services-Commodities
MIDWESTLTD,A,Financial Services-Consumer Discretionary
HCC,A,Financial Services-Industrials
INNOVACAP,A,Financial Services-Healthcare
BHARATRAS,A,Financial Services-Commodities
NFL,A,Financial Services-Commodities
HERITGFOOD,A,Financial Services-Fast Moving Consumer Goods
VSTIND,A,Financial Services-Fast Moving Consumer Goods
RAMKY,A,Financial Services-Industrials
PARAGMILK,A,Financial Services-Fast Moving Consumer Goods
ROUTE,A,Financial Services-Telecommunication
JAMNAAUTO,A,Financial Services-Consumer Discretionary
CEIGALL,A,Financial Services-Industrials
UEL,A,Financial Services-Utilities
NORTHARC,A,Financial Services-Financial Services
GOPAL,A,Financial Services-Fast Moving Consumer Goods
SANATHAN,A,Financial Services-Consumer Discretionary
INTERARCH,A,Financial Services-Industrials
JTEKTINDIA,A,Financial Services-Consumer Discretionary
HEIDELBERG,A,Financial Services-Commodities
AVANTEL,A,Financial Services-Industrials
POCL,A,Financial Services-Commodities
MOSCHIP,A,Financial Services-Information Technology
AARTIDRUGS,A,Financial Services-Healthcare
SAMHI,A,Financial Services-Consumer Discretionary
GUJALKALI,A,Financial Services-Commodities
SUVEN,A,Financial Services-Healthcare
VAIBHAVGBL,A,Financial Services-Consumer Discretionary
SMLMAH,A,Financial Services-Industrials
TARC,A,Financial Services-Consumer Discretionary
HEMIPROP,A,Financial Services-Services
BOROLTD,A,Financial Services-Consumer Discretionary
AJMERA,A,Financial Services-Consumer Discretionary
AWFIS,A,Financial Services-Services
ORIENTELEC,A,Financial Services-Consumer Discretionary
TRUALT,A,Financial Services-Fast Moving Consumer Goods
BALAMINES,A,Financial Services-Commodities
VADILALIND,A,Financial Services-Fast Moving Consumer Goods
GOODLUCK,A,Oil & Gas-Industrials
MARATHON,A,Financial Services-Consumer Discretionary
BAJAJCON,A,Financial Services-Fast Moving Consumer Goods
KIRLOSIND,A,Financial Services-Industrials
RAIN,A,Financial Services-Commodities
SENORES,A,Financial Services-Healthcare
DCAL,A,Financial Services-Healthcare
EIEL,A,Financial Services-Utilities
RPGLIFE,A,Financial Services-Healthcare
EBGNG,A,Financial Services-Information Technology
NACLIND,A,Financial Services-Commodities
DPABHUSHAN,A,Financial Services-Consumer Discretionary
GRAUWEIL,A,Financial Services-Commodities
UFLEX,A,Financial Services-Industrials
MANGCHEFER,A,Financial Services-Commodities
CENTUM,A,Financial Services-Industrials
HARSHA,A,Financial Services-Industrials
ORIENTCEM,A,Financial Services-Commodities
SHANTIGEAR,A,Financial Services-Industrials
SHAREINDIA,A,Financial Services-Financial Services
WONDERLA,A,Financial Services-Consumer Discretionary
TVSSRICHAK,A,Financial Services-Consumer Discretionary
EUROPRATIK,A,Financial Services-Consumer Discretionary
GREENPLY,A,Financial Services-Consumer Discretionary
RBA,A,Financial Services-Consumer Discretionary
MCLOUD,A,Financial Services-Information Technology
STYRENIX,A,Financial Services-Commodities
SEITINVIT,A,Information Technology-Utilities
ADVENZYMES,A,Financial Services-Healthcare
MPSLTD,A,Financial Services-Consumer Discretionary
GUFICBIO,A,Financial Services-Healthcare
GKENERGY,A,Financial Services-Industrials
LUXIND,A,Financial Services-Consumer Discretionary
PSPPROJECT,A,Financial Services-Industrials
MBAPL,A,Financial Services-Commodities
NSIL,A,Financial Services-Financial Services
JUBLCPL,A,Financial Services-Commodities
SINDHUTRAD,A,Financial Services-Services
CYIENTDLM,A,Financial Services-Industrials
KOLTEPATIL,A,Financial Services-Consumer Discretionary
NAVNETEDUL,A,Financial Services-Consumer Discretionary
SIYSIL,A,Financial Services-Consumer Discretionary
MSTCLTD,A,Financial Services-Services
MEDIASSIST,A,Financial Services-Financial Services
KSL,A,Financial Services-Industrials
TATVA,A,Financial Services-Commodities
ROSSARI,A,Financial Services-Commodities
RAYMONDREL,A,Financial Services-Consumer Discretionary
AGIIL,A,Financial Services-Consumer Discretionary
63MOONS,A,Financial Services-Information Technology
MANINDS,A,Oil & Gas-Industrials
STYLAMIND,A,Financial Services-Consumer Discretionary
KMEW,A,Financial Services-Services
PROTEAN,A,Financial Services-Information Technology
FOSECOIND,A,Financial Services-Commodities
JINDWORLD,A,Financial Services-Consumer Discretionary
JISLJALEQS,A,Financial Services-Industrials
UNIVCABLES,A,Financial Services-Industrials
DHANI,A,Financial Services-Financial Services
MARINE,A,Financial Services-Industrials
RAYMOND,A,Financial Services-Consumer Discretionary
BBL,A,Financial Services-Industrials
NEOGEN,A,Financial Services-Commodities
UNICHEMLAB,A,Financial Services-Healthcare
PITTIENG,A,Financial Services-Industrials
HLEGLAS,A,Financial Services-Industrials
VISHNU,A,Financial Services-Commodities
PRINCEPIPE,A,Financial Services-Industrials
BALMLAWRIE,A,Oil & Gas-Diversified
BHAGCHEM,A,Financial Services-Commodities
GREENPANEL,A,Financial Services-Consumer Discretionary
SGLTL,A,Financial Services-Industrials
KIRIINDUS,A,Financial Services-Commodities
SABTNL,A,Financial Services-Consumer Discretionary
MAHLOG,A,Financial Services-Services
FLAIR,A,Financial Services-Fast Moving Consumer Goods
KDDL,A,Financial Services-Consumer Discretionary
GLOBUSSPR,A,Financial Services-Fast Moving Consumer Goods
PAISALO,A,Financial Services-Financial Services
KKCL,A,Financial Services-Consumer Discretionary
SANDHAR,A,Financial Services-Consumer Discretionary
QUESS,A,Financial Services-Services
SAMBHV,A,Financial Services-Industrials
EPACKPEB,A,Financial Services-Industrials
INDOSTAR,A,Financial Services-Financial Services
SSWL,A,Financial Services-Consumer Discretionary
NPST,A,Financial Services-Information Technology
KRISHANA,A,Financial Services-Commodities
ARKADE,A,Financial Services-Consumer Discretionary
DEEPINDS,A,Oil & Gas-Energy
DDEVPLSTIK,A,Financial Services-Commodities
BGRENERGY,A,Financial Services-Industrials
ASHIANA,A,Financial Services-Consumer Discretionary
ALPEXSOLAR,A,Financial Services-Industrials
BOMDYEING,A,Financial Services-Consumer Discretionary
PENIND,A,Financial Services-Industrials
PREMEXPLN,A,Financial Services-Commodities
TFCILTD,A,Financial Services-Financial Services
GATEWAY,A,Financial Services-Services
GRMOVER,A,Financial Services-Fast Moving Consumer Goods
BRIGHOTEL,A,Financial Services-Consumer Discretionary
SANGHVIMOV,A,Financial Services-Services
ORISSAMINE,A,Financial Services-Commodities
PARKHOTELS,A,Financial Services-Consumer Discretionary
SIRCA,A,Financial Services-Consumer Discretionary
CARRARO,A,Financial Services-Consumer Discretionary
JASH,A,Financial Services-Industrials
TIRUMALCHM,A,Financial Services-Commodities
RELTD,A,Financial Services-Industrials
POKARNA,A,Financial Services-Consumer Discretionary
CAMLINFINE,A,Financial Services-Commodities
MUTHOOTMF,A,Financial Services-Financial Services
VEEDOL,A,Oil & Gas-Energy
PATELENG,A,Financial Services-Industrials
GOCOLORS,A,Financial Services-Consumer Discretionary
SAGCEM,A,Financial Services-Commodities
UTKARSHBNK,A,Financial Services-Financial Services
HINDWAREAP,A,Financial Services-Consumer Discretionary
RAMCOIND,A,Financial Services-Commodities
SUNDROP,A,Financial Services-Fast Moving Consumer Goods
RAMRAT,A,Financial Services-Industrials
NOCIL,A,Financial Services-Commodities
FMGOETZE,A,Financial Services-Consumer Discretionary
CARYSIL,A,Financial Services-Consumer Discretionary
NRBBEARING,A,Financial Services-Consumer Discretionary
FCL,A,Financial Services-Commodities
SAKSOFT,A,Financial Services-Information Technology
TCPLPACK,A,Financial Services-Industrials
ROLEXRINGS,A,Financial Services-Consumer Discretionary
WSTCSTPAPR,A,Financial Services-Commodities
MAITHANALL,A,Financial Services-Commodities
YATRA,A,Financial Services-Consumer Discretionary
IMAGICAA,A,Financial Services-Consumer Discretionary
HPL,A,Financial Services-Industrials
TEAMLEASE,A,Financial Services-Services
HIKAL,A,Financial Services-Healthcare
VIKRAN,A,Financial Services-Industrials
PRABHA,A,Oil & Gas-Energy
ROADSTAR,A,Information Technology-Services
VIMTALABS,A,Financial Services-Healthcare
POLYPLEX,A,Financial Services-Industrials
VSSL,A,Financial Services-Industrials
ARVSMART,A,Financial Services-Consumer Discretionary
EFCIL,A,Financial Services-Services
EASEMYTRIP,A,Financial Services-Consumer Discretionary
SUNCLAY,A,Financial Services-Consumer Discretionary
RPSGVENT,A,Financial Services-Services
IOLCP,A,Financial Services-Healthcare
VENUSPIPES,A,Oil & Gas-Industrials
KRSNAA,A,Financial Services-Healthcare
KPEL,A,Financial Services-Utilities
FISCHER,A,Financial Services-Healthcare
BAJAJHIND,A,Financial Services-Fast Moving Consumer Goods
ROSSTECH,A,Financial Services-Industrials
SMSPHARMA,A,Financial Services-Healthcare
GIPCL,A,Financial Services-Utilities
BCG,A,Financial Services-Information Technology
REPCOHOME,A,Financial Services-Financial Services
SOLARWORLD,A,Financial Services-Industrials
DALMIASUG,A,Financial Services-Fast Moving Consumer Goods
KALAMANDIR,A,Financial Services-Consumer Discretionary
JAICORPLTD,A,Financial Services-Industrials
SBCL,A,Financial Services-Industrials
ALEMBICLTD,A,Financial Services-Consumer Discretionary
EMSLIMITED,A,Financial Services-Utilities
SOTL,A,Oil & Gas-Energy
TAJGVK,A,Financial Services-Consumer Discretionary
HIRECT,A,Financial Services-Industrials
JTLIND,A,Financial Services-Industrials
EPACK,A,Financial Services-Consumer Discretionary
UGROCAP,A,Financial Services-Financial Services
HONDAPOWER,A,Financial Services-Industrials
NUCLEUS,A,Financial Services-Information Technology
LAOPALA,A,Financial Services-Consumer Discretionary
DIAMONDYD,A,Financial Services-Fast Moving Consumer Goods
MTNL,A,Financial Services-Telecommunication
SHK,A,Financial Services-Commodities
WINDMACHIN,A,Financial Services-Industrials
BFUTILITIE,A,Financial Services-Services
AUTOAXLES,A,Financial Services-Consumer Discretionary
MONARCH,A,Financial Services-Financial Services
CAPACITE,A,Financial Services-Industrials
DREDGECORP,A,Financial Services-Services
FILATEX,A,Financial Services-Consumer Discretionary
MOREPENLAB,A,Financial Services-Healthcare
XPROINDIA,A,Financial Services-Industrials
SOLARA,A,Financial Services-Healthcare
EVEREADY,A,Financial Services-Fast Moving Consumer Goods
PRAKASH,A,Financial Services-Commodities
INDOCO,A,Financial Services-Healthcare
GVPIL,A,Oil & Gas-Industrials
TCIEXP,A,Financial Services-Services
GMBREW,A,Financial Services-Fast Moving Consumer Goods
SHALBY,A,Financial Services-Healthcare
JINDALPOLY,A,Financial Services-Industrials
HGS,A,Financial Services-Services
WAAREEINDO,A,Financial Services-Industrials
AEROFLEX,A,Financial Services-Industrials
FINOPB,A,Financial Services-Financial Services
HATHWAY,A,Financial Services-Consumer Discretionary
ADFFOODS,A,Financial Services-Fast Moving Consumer Goods
KICL,A,Financial Services-Financial Services
KCP,A,Financial Services-Commodities
BEPL,A,Financial Services-Commodities
SUMMITSEC,A,Financial Services-Financial Services
SIMPLEXINF,A,Financial Services-Industrials
WEL,A,Financial Services-Consumer Discretionary
SEAMECLTD,A,Financial Services-Services
RAMCOSYS,A,Financial Services-Information Technology
SDBL,A,Financial Services-Fast Moving Consumer Goods
SANGAMIND,A,Financial Services-Consumer Discretionary
PFS,A,Financial Services-Financial Services
ANZEN,A,Information Technology-Utilities
LANDMARK,A,Financial Services-Consumer Discretionary
ANANTAM,A,Information Technology-Services
SCILAL,A,Financial Services-Financial Services
GANECOS,A,Financial Services-Consumer Discretionary
MBEL,A,Financial Services-Industrials
RAJRATAN,A,Financial Services-Consumer Discretionary
SYSTMTXC,A,Financial Services-Financial Services
STEELCAS,A,Financial Services-Industrials
MAYURUNIQ,A,Financial Services-Consumer Discretionary
SGFIN,A,Financial Services-Financial Services
NILKAMAL,A,Financial Services-Consumer Discretionary
EIHAHOTELS,A,Financial Services-Consumer Discretionary
KERNEX,A,Financial Services-Services
STYLEBAAZA,A,Financial Services-Consumer Discretionary
SHRINGARMS,A,Financial Services-Consumer Discretionary
STUDDS,A,Financial Services-Consumer Discretionary
SERVOTECH,A,Financial Services-Industrials
UNIPARTS,A,Financial Services-Consumer Discretionary
RPTECH,A,Financial Services-Information Technology
RML,A,Financial Services-Consumer Discretionary
DIGITIDE,A,Financial Services-Information Technology
TVSINVIT,A,Information Technology-Services
SPANDANA,A,Financial Services-Financial Services
TASTYBITE,A,Financial Services-Fast Moving Consumer Goods
PANACEABIO,A,Financial Services-Healthcare
INSECTICID,A,Financial Services-Commodities
APCOTEXIND,A,Financial Services-Industrials
DCXINDIA,A,Financial Services-Industrials
WHEELS,A,Financial Services-Consumer Discretionary
MOLDTKPAC,A,Financial Services-Industrials
BAJEL,A,Financial Services-Industrials
CANTABIL,A,Financial Services-Consumer Discretionary
DOLLAR,A,Financial Services-Consumer Discretionary
IDEAFORGE,A,Financial Services-Industrials
HITECH,A,Oil & Gas-Industrials
SOLEX,A,Financial Services-Industrials
VINCOFE,A,Financial Services-Services
SASKEN,A,Financial Services-Information Technology
ORIENTHOT,A,Financial Services-Consumer Discretionary
GOODYEAR,A,Financial Services-Consumer Discretionary
NOVARTIND,A,Financial Services-Healthcare
STOVEKRAFT,A,Financial Services-Consumer Discretionary
RANEHOLDIN,A,Financial Services-Financial Services
SULA,A,Financial Services-Fast Moving Consumer Goods
AIMTRON,A,Financial Services-Industrials
GEOJITFSL,A,Financial Services-Financial Services
IPL,A,Financial Services-Commodities
VERANDA,A,Financial Services-Consumer Discretionary
AMRUTANJAN,A,Financial Services-Healthcare
NDRAUTO,A,Financial Services-Consumer Discretionary
YASHO,A,Financial Services-Commodities
SPAL,A,Financial Services-Consumer Discretionary
PIXTRANS,A,Financial Services-Industrials
INDIANHUME,A,Financial Services-Industrials
RMDRIP,A,Financial Services-Industrials
ACCELYA,A,Financial Services-Information Technology
NITCO,A,Financial Services-Consumer Discretionary
GARUDA,A,Financial Services-Industrials
MOBIKWIK,A,Financial Services-Financial Services
DCW,A,Financial Services-Commodities
MANGLMCEM,A,Financial Services-Commodities
CAPINVIT,A,Information Technology-Industrials
MUFIN,A,Financial Services-Financial Services
BLSE,A,Financial Services-Information Technology
GENESYS,A,Financial Services-Information Technology
NELCO,A,Financial Services-Information Technology
MSPL,A,Financial Services-Industrials
COSMOFIRST,A,Financial Services-Industrials
HINDOILEXP,A,Oil & Gas-Energy
INDNIPPON,A,Financial Services-Consumer Discretionary
TIL,A,Financial Services-Industrials
MUKANDLTD,A,Financial Services-Commodities
DIVGIITTS,A,Financial Services-Consumer Discretionary
ADOR,A,Oil & Gas-Industrials
NITINSPIN,A,Financial Services-Consumer Discretionary
VENKEYS,A,Financial Services-Fast Moving Consumer Goods
DELTACORP,A,Financial Services-Consumer Discretionary
ASTEC,A,Financial Services-Commodities
RHETAN,A,Financial Services-Industrials
VIDHIING,A,Financial Services-Commodities
THEJO,A,Financial Services-Industrials
PANAMAPET,A,Oil & Gas-Energy
ASALCBR,A,Financial Services-Fast Moving Consumer Goods
VMARCIND,A,Financial Services-Industrials
INDOTECH,A,Financial Services-Industrials
VINDHYATEL,A,Financial Services-Telecommunication
SALASAR,A,Financial Services-Industrials
SPECTRUM,A,Financial Services-Industrials
ALLTIME,A,Financial Services-Consumer Discretionary
SOMANYCERA,A,Financial Services-Consumer Discretionary
HMT,A,Financial Services-Industrials
ARMANFIN,A,Financial Services-Financial Services
SPIC,A,Financial Services-Commodities
MOL,A,Financial Services-Commodities
COOLCAPS,A,Financial Services-Industrials
DYCL,A,Financial Services-Industrials
SANSTAR,A,Financial Services-Fast Moving Consumer Goods
TAC,A,Financial Services-Information Technology
TALBROAUTO,A,Financial Services-Consumer Discretionary
SUMEETINDS,A,Information Technology-Consumer Discretionary
GTLINFRA,A,Financial Services-Telecommunication
MONTECARLO,A,Financial Services-Consumer Discretionary
ANTELOPUS,A,Oil & Gas-Energy
PRECAM,A,Financial Services-Consumer Discretionary
JINDRILL,A,Oil & Gas-Energy
