Symbol	Type	Sector	Mcap
537709	Shree Hanuman Sg	Agricultural Food & other Products Companies	1
519479	Omega Ag Seeds	Agricultural Food & other Products Companies	1
519353	Bansisons Tea	Agricultural Food & other Products Companies	1
507609	Olympic Oil Ind.	Agricultural Food & other Products Companies	1
519191	Retro Green	Agricultural Food & other Products Companies	1
526568	Longview Tea	Agricultural Food & other Products Companies	1
531834	Natura Hue Chem	Agricultural Food & other Products Companies	1
526983	Ashoka Refinerie	Agricultural Food & other Products Companies	1
519174	Ashiana Agro Ind	Agricultural Food & other Products Companies	1
519279	Madhur Inds	Agricultural Food & other Products Companies	1
MARUTI	Maruti Suzuki	Automobiles Companies	1
M&M	M & M	Automobiles Companies	1
BAJAJ-AUTO	Bajaj Auto	Automobiles Companies	1
EICHERMOT	Eicher Motors	Automobiles Companies	1
HYUNDAI	Hyundai Motor I	Automobiles Companies	1
TVSMOTOR	TVS Motor Co.	Automobiles Companies	1
TMPV	Tata Motors PVeh	Automobiles Companies	1
HEROMOTOCO	Hero Motocorp	Automobiles Companies	1
ATHERENERG	Ather Energy	Automobiles Companies	1
FORCEMOT	Force Motors	Automobiles Companies	1
OLAELEC	Ola Electric	Automobiles Companies	1
OLECTRA	Olectra Greentec	Automobiles Companies	1
LANDMARK	Landmark Cars	Automobiles Companies	1
544563	Zelio E-Mobility	Automobiles Companies	1
PVSL	Popular Vehicles	Automobiles Companies	1
531035	Eraaya Lifespace	Automobiles Companies	1
531357	Mercury EV-Tech	Automobiles Companies	1
HINDMOTORS	Hindustan Motors	Automobiles Companies	1
538970	Wardwizard Inno.	Automobiles Companies	1
TUNWAL	Tunwal E-Motors	Automobiles Companies	1
531041	Competent Auto	Automobiles Companies	1
544428	Supertech EV	Automobiles Companies	1
DELTIC	Delta Auto.	Automobiles Companies	1
BIKEWO	Bikewo Green	Automobiles Companies	1
544236	Resourceful Auto	Automobiles Companies	1
539402	Naksh Precious	Automobiles Companies	1
MOTHERSON	Samvardh. Mothe.	Auto Components Companies	1
BOSCHLTD	Bosch	Auto Components Companies	1
UNOMINDA	Uno Minda	Auto Components Companies	1
BHARATFORG	Bharat Forge	Auto Components Companies	1
MRF	MRF	Auto Components Companies	1
SCHAEFFLER	Schaeffler India	Auto Components Companies	1
TIINDIA	Tube Investments	Auto Components Companies	1
BALKRISIND	Balkrishna Inds	Auto Components Companies	1
ENDURANCE	Endurance Tech.	Auto Components Companies	1
APOLLOTYRE	Apollo Tyres	Auto Components Companies	1
EXIDEIND	Exide Inds.	Auto Components Companies	1
SONACOMS	Sona BLW Precis.	Auto Components Companies	1
MSUMI	Motherson Wiring	Auto Components Companies	1
ZFCVINDIA	ZF Commercial	Auto Components Companies	1
ASAHIINDIA	Asahi India Glas	Auto Components Companies	1
SUNDRMFAST	Sundram Fasten.	Auto Components Companies	1
TENNIND	Tenneco Clean	Auto Components Companies	1
ARE&M	Amara Raja Ener.	Auto Components Companies	1
CRAFTSMAN	Craftsman Auto	Auto Components Companies	1
CEATLTD	CEAT	Auto Components Companies	1
CIEINDIA	CIE Automotive	Auto Components Companies	1
BELRISE	Belrise Industri	Auto Components Companies	1
MINDACORP	Minda Corp	Auto Components Companies	1
JBMA	JBM Auto	Auto Components Companies	1
GABRIEL	Gabriel India	Auto Components Companies	1
JKTYRE	JK Tyre & Indust	Auto Components Companies	1
SHRIPISTON	Shriram Pistons	Auto Components Companies	1
BANCOINDIA	Banco Products	Auto Components Companies	1
LUMAXTECH	Lumax Auto Tech.	Auto Components Companies	1
SANSERA	Sansera Enginee.	Auto Components Companies	1
VARROC	Varroc Engineer	Auto Components Companies	1
RKFORGE	Ramkrishna Forg.	Auto Components Companies	1
ASKAUTOLTD	ASK Automotive	Auto Components Companies	1
PRICOLLTD	Pricol Ltd	Auto Components Companies	1
SUPRAJIT	Suprajit Engg.	Auto Components Companies	1
LGBBROSLTD	L G Balakrishnan	Auto Components Companies	1
FIEMIND	Fiem Industries	Auto Components Companies	1
SHARDAMOTR	Sharda Motor	Auto Components Companies	1
SJS	SJS Enterprises	Auto Components Companies	1
LUMAXIND	Lumax Industries	Auto Components Companies	1
JAMNAAUTO	Jamna Auto Inds.	Auto Components Companies	1
JTEKTINDIA	JTEKT India	Auto Components Companies	1
TVSSRICHAK	TVS Srichakra	Auto Components Companies	1
SANDHAR	Sandhar Tech	Auto Components Companies	1
CARRARO	Carraro India	Auto Components Companies	1
SSWL	Steel Str. Wheel	Auto Components Companies	1
ROLEXRINGS	Rolex Rings	Auto Components Companies	1
AUTOAXLES	Automotive Axles	Auto Components Companies	1
NRBBEARING	NRB Bearings	Auto Components Companies	1
SUNCLAY	Sundaram Clayton	Auto Components Companies	1
FMGOETZE	Federal-Mogul Go	Auto Components Companies	1
RAJRATAN	Rajratan Global	Auto Components Companies	1
UNIPARTS	Uniparts India	Auto Components Companies	1
STUDDS	Studds Accessor.	Auto Components Companies	1
RML	Rane (Madras)	Auto Components Companies	1
WHEELS	Wheels India	Auto Components Companies	1
NDRAUTO	NDR Auto Compon.	Auto Components Companies	1
GOODYEAR	Goodyear India	Auto Components Companies	1
INDNIPPON	India Nipp.Elec.	Auto Components Companies	1
DIVGIITTS	Divgi Torq	Auto Components Companies	1
TALBROAUTO	Talbros Auto.	Auto Components Companies	1
MMFL	M M Forgings	Auto Components Companies	1
522195	Frontier Springs	Auto Components Companies	1
PRECAM	Precision Camshf	Auto Components Companies	1
RICOAUTO	Rico Auto Inds	Auto Components Companies	1
