Symbol,Type,Sector,Sectors,Industrys
ABSLAMC,Abslamc AMC,Financial Services-Financial Services,Financial Services,Financial Services
SUNTV,Suntv TV Network,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PSB,Psb & Sind Bank,Financial Services-Financial Services,Financial Services,Financial Services
KPIL,Kpil Proj.,Oil & Gas-Industrials,Oil & Gas,Industrials
BIRET,Biret India,Information Technology-Consumer Discretionary,Information Technology,Consumer Discretionary
AADHARHFC,Aadharhfc Hsg. Fin.,Financial Services-Financial Services,Financial Services,Financial Services
URBANCO,Urbanco Company,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TATACHEM,Tatachem Chemicals,Financial Services-Commodities,Financial Services,Commodities
BAYERCROP,Bayercrop Crop Sci.,Financial Services-Commodities,Financial Services,Commodities
SUNDRMFAST,Sundrmfast Fasten.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DCMSHRIRAM,Dcmshriram Shriram,Financial Services-Diversified,Financial Services,Diversified
CHALET,Chalet Hotels,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CPPLUS,Cpplus Infotech,Financial Services-Industrials,Financial Services,Industrials
CAMS,Cams Services,Financial Services-Financial Services,Financial Services,Financial Services
CUB,Cub Union Bank,Financial Services-Financial Services,Financial Services,Financial Services
ABREL,Abrel B Real Estate,Financial Services-Commodities,Financial Services,Commodities
JSWHL,Jswhl Holdings,Financial Services-Financial Services,Financial Services,Financial Services
TENNIND,Tennind Clean,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
RBLBANK,Rblbank Bank,Financial Services-Financial Services,Financial Services,Financial Services
BASF,Basf India,Financial Services-Commodities,Financial Services,Commodities
POLYMED,Polymed Medicure,Financial Services-Healthcare,Financial Services,Healthcare
KANSAINER,Kansainer Nerolac,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NETWEB,Netweb Technol.,Financial Services-Information Technology,Financial Services,Information Technology
CASTROLIND,Castrolind India,Oil & Gas-Energy,Oil & Gas,Energy
ONESOURCE,Onesource Speci.,Financial Services-Healthcare,Financial Services,Healthcare
KEC,Kec International,Oil & Gas-Industrials,Oil & Gas,Industrials
TBOTEK,Tbotek Tek,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CUBEINVIT,Cubeinvit Highways,Information Technology-Services,Information Technology,Services
OLAELEC,Olaelec Electric,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CHAMBLFERT,Chamblfert Fert.,Financial Services-Commodities,Financial Services,Commodities
KFINTECH,Kfintech Technolog.,Financial Services-Financial Services,Financial Services,Financial Services
CGCL,Cgcl Global,Financial Services-Financial Services,Financial Services,Financial Services
FIVESTAR,Fivestar Star Bus.Fi,Financial Services-Financial Services,Financial Services,Financial Services
ABDL,Abdl Blenders,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
EIDPARRY,Eidparry Parry,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
SAILIFE,Sailife Life,Financial Services-Healthcare,Financial Services,Healthcare
DEEPAKFERT,Deepakfert Fertilis.,Financial Services-Commodities,Financial Services,Commodities
INDIGRID,Indigrid Trust,Information Technology-Utilities,Information Technology,Utilities
BIKAJI,Bikaji Foods,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
DEVYANI,Devyani Intl.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TRAVELFOOD,Travelfood Food,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
APLLTD,Aplltd Pharma,Financial Services-Healthcare,Financial Services,Healthcare
SCHNEIDER,Schneider Elect.,Financial Services-Industrials,Financial Services,Industrials
ATUL,Atul https,Financial Services-Commodities,Financial Services,Commodities
ARE&M,Are&M Raja Ener.,Oil & Gas-Consumer Discretionary,Oil & Gas,Consumer Discretionary
SARDAEN,Sardaen Energy,Financial Services-Commodities,Financial Services,Commodities
CROMPTON,Crompton Gr. Con,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
KAJARIACER,Kajariacer Ceramics,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TRITURBINE,Triturbine Turbine,Financial Services-Industrials,Financial Services,Industrials
JSWCEMENT,Jswcement Cement,Financial Services-Commodities,Financial Services,Commodities
DATAPATTNS,Datapattns Pattern,Financial Services-Industrials,Financial Services,Industrials
KIRLOSENG,Kirloseng Oil,Financial Services-Industrials,Financial Services,Industrials
JUBLPHARMA,Jublpharma Pharmo,Financial Services-Healthcare,Financial Services,Healthcare
PGEL,Pgel Electroplast,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GRINDWELL,Grindwell Norton,Financial Services-Industrials,Financial Services,Industrials
VENTIVE,Ventive Hospital,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GSPL,Gspl St.Petronet,Oil & Gas-Energy,Oil & Gas,Energy
CENTURYPLY,Centuryply Plyboard,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
MAHSCOOTER,Mahscooter Scooters,Financial Services-Financial Services,Financial Services,Financial Services
GPIL,Gpil Power,Financial Services-Industrials,Financial Services,Industrials
VERTIS,Vertis Infra.,Information Technology-Services,Information Technology,Services
FIRSTCRY,Firstcry Solut.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
VINATIORGA,Vinatiorga Organics,Financial Services-Commodities,Financial Services,Commodities
LMW,Lmw https,Financial Services-Industrials,Financial Services,Industrials
SOBHA,Sobha https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CHOICEIN,Choicein Intl.,Financial Services-Financial Services,Financial Services,Financial Services
ZENSARTECH,Zensartech Tech.,Financial Services-Information Technology,Financial Services,Information Technology
SYRMA,Syrma SGS Tech.,Financial Services-Industrials,Financial Services,Industrials
EMMVEE,Emmvee Photovol.,Financial Services-Industrials,Financial Services,Industrials
RATNAMANI,Ratnamani Metals,Oil & Gas-Industrials,Oil & Gas,Industrials
CRAFTSMAN,Craftsman Auto,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
RPOWER,Rpower Power,Financial Services-Utilities,Financial Services,Utilities
BEML,Beml Ltd,"Agricultural, Commercial & Construction Vehicles-",,
CIEINDIA,Cieindia Automotive,Auto Components & Equipments-,,
CEATLTD,Ceatltd https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SIGNATURE,Signature https,"Realty-Residential, Commercial Projects",,
GESHIP,Geship Shipping Co,Financial Services-Services,Financial Services,Services
AGARWALEYE,Agarwaleye Agarwal's Hea,Financial Services-Healthcare,Financial Services,Healthcare
ABLBL,Ablbl B Lifestyle,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ELGIEQUIP,Elgiequip Equipments,Financial Services-Industrials,Financial Services,Industrials
CARBORUNIV,Carboruniv Uni.,Industrial Products-Abrasives & Bearings,,
GMDCLTD,Gmdcltd M D C,Minerals & Mining-Industrial Minerals,,
NATCOPHARM,Natcopharm Pharma,Financial Services-Healthcare,Financial Services,Healthcare
AKZOINDIA,Akzoindia Nobel,Consumer Durables-Paints,,
NAVA,Nava https,Power-Power,,
DOMS,Doms Industries,Household Products-Stationary,,
RRKABEL,Rrkabel R Kabel,Financial Services-Industrials,Financial Services,Industrials
IRCON,Ircon Intl.,Financial Services-Industrials,Financial Services,Industrials
CHENNPETRO,Chennpetro P C L,Petroleum Products-Refineries & Marketing,,
INTELLECT,Intellect Design,Financial Services-Information Technology,Financial Services,Information Technology
VGUARD,Vguard Guard Industri,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
WHIRLPOOL,Whirlpool India,Consumer Durables-Household Appliances,,
CONCORDBIO,Concordbio Biotech,Financial Services-Healthcare,Financial Services,Healthcare
MANYAVAR,Manyavar Fashions,Retailing-Speciality Retail,,
JAINREC,Jainrec Resource,Diversified Metals-Diversified Metals,,
UTIAMC,Utiamc AMC,Financial Services-Financial Services,Financial Services,Financial Services
GABRIEL,Gabriel India,Auto Components-Auto Components & Equipments,,
CAPLIPOINT,Caplipoint Point Lab,Pharmaceuticals-Pharmaceuticals & Biotechnology,,
JBMA,Jbma Auto,Auto Components-Auto Components & Equipments,,
TRIDENT,Trident https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CARTRADE,Cartrade Tech,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ACMESOLAR,Acmesolar Solar Hold.,Financial Services-Utilities,Financial Services,Utilities
SWANCORP,Swancorp Corp,Oil & Gas-Commodities,Oil & Gas,Commodities
AFCONS,Afcons Infrastr.,Financial Services-Industrials,Financial Services,Industrials
BELRISE,Belrise Industri,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GALLANTT,Gallantt Ispat L,Financial Services-Industrials,Financial Services,Industrials
MINDACORP,Mindacorp Corp,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LTFOODS,Ltfoods T Foods,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ANURAS,Anuras Rasayan,Financial Services-Commodities,Financial Services,Commodities
IFCI,Ifci https,Financial Services-Financial Services,Financial Services,Financial Services
IGIL,Igil Ge,Financial Services-Services,Financial Services,Services
INDIAMART,Indiamart Inter.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ZYDUSWELL,Zyduswell Wellness,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
THELEELA,Theleela Palaces Hotels,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NIVABUPA,Nivabupa Bupa Health,Financial Services-Financial Services,Financial Services,Financial Services
AARTIIND,Aartiind Industries,Financial Services-Commodities,Financial Services,Commodities
ACUTAAS,Acutaas Chemical,Financial Services-Healthcare,Financial Services,Healthcare
FINEORG,Fineorg Organic,Financial Services-Commodities,Financial Services,Commodities
APTUS,Aptus Value Hou.,Financial Services-Financial Services,Financial Services,Financial Services
BLUEDART,Bluedart Dart Expres,Financial Services-Services,Financial Services,Services
JPPOWER,Jppower Power Ven.,Financial Services-Utilities,Financial Services,Utilities
TECHNOE,Technoe Elec.Engg,Financial Services-Industrials,Financial Services,Industrials
KIRLOSBROS,Kirlosbros Brothers,Financial Services-Industrials,Financial Services,Industrials
RAINBOW,Rainbow Child.,Financial Services-Healthcare,Financial Services,Healthcare
JMFINANCIL,Jmfinancil Financial,Financial Services-Financial Services,Financial Services,Financial Services
CEMPRO,Cempro Project,Financial Services-Industrials,Financial Services,Industrials
CCL,Ccl Products,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
WELSPUNLIV,Welspunliv Living,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CELLO,Cello World,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GRANULES,Granules India,Financial Services-Healthcare,Financial Services,Healthcare
BLS,Bls Internat.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SAMMAANCAP,Sammaancap Capital,Financial Services-Financial Services,Financial Services,Financial Services
USHAMART,Ushamart Martin,Financial Services-Industrials,Financial Services,Industrials
VTL,Vtl Textile,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PCBL,Pcbl Chemical,Financial Services-Commodities,Financial Services,Commodities
NUVOCO,Nuvoco Vistas,Financial Services-Commodities,Financial Services,Commodities
BBTC,Bbtc Burmah,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
PFOCUS,Pfocus Focus,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AAVAS,Aavas Financiers,Financial Services-Financial Services,Financial Services,Financial Services
BATAINDIA,Bataindia India,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
NEWGEN,Newgen Software,Financial Services-Information Technology,Financial Services,Information Technology
ZENTEC,Zentec Technologies,Financial Services-Industrials,Financial Services,Industrials
JWL,Jwl Wagons,Financial Services-Industrials,Financial Services,Industrials
TEGA,Tega Inds.,Financial Services-Industrials,Financial Services,Industrials
IEX,Iex Energy Ex,Financial Services-Financial Services,Financial Services,Financial Services
GRAVITA,Gravita India,Financial Services-Commodities,Financial Services,Commodities
PARADEEP,Paradeep Phosph.,Financial Services-Commodities,Financial Services,Commodities
INDIACEM,Indiacem Cements,Financial Services-Commodities,Financial Services,Commodities
KSB,Ksb https,Oil & Gas-Industrials,Oil & Gas,Industrials
CYIENT,Cyient https,Financial Services-Information Technology,Financial Services,Information Technology
SPLPETRO,Splpetro Petroch.,Financial Services-Commodities,Financial Services,Commodities
PRIVISCL,Priviscl Speci.,Financial Services-Commodities,Financial Services,Commodities
INGERRAND,Ingerrand Rand,Financial Services-Industrials,Financial Services,Industrials
INDGN,Indgn https,Financial Services-Healthcare,Financial Services,Healthcare
JKTYRE,Jktyre Tyre & Indust,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AETHER,Aether Industri.,Financial Services-Commodities,Financial Services,Commodities
LEMONTREE,Lemontree Tree Hotel,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HOMEFIRST,Homefirst First Finan,Financial Services-Financial Services,Financial Services,Financial Services
NSLNISP,Nslnisp Steel,Financial Services-Commodities,Financial Services,Commodities
MGL,Mgl Gas,Oil & Gas-Energy,Oil & Gas,Energy
RITES,Rites https,Financial Services-Industrials,Financial Services,Industrials
CANFINHOME,Canfinhome Fin Homes,Financial Services-Financial Services,Financial Services,Financial Services
SBFC,Sbfc Finance,Financial Services-Financial Services,Financial Services,Financial Services
AVANTIFEED,Avantifeed Feeds,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
CANHLIFE,Canhlife HSBC,Financial Services-Financial Services,Financial Services,Financial Services
TSFINV,Tsfinv Investments,Financial Services-Financial Services,Financial Services,Financial Services
FINCABLES,Fincables Cables,Financial Services-Industrials,Financial Services,Industrials
SHRIPISTON,Shripiston Pistons,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
IXIGO,Ixigo Travenues,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BLACKBUCK,Blackbuck https,Financial Services-Services,Financial Services,Services
J&KBANK,J&Kbank & K Bank,Financial Services-Financial Services,Financial Services,Financial Services
ELECON,Elecon Engg.Co,Financial Services-Industrials,Financial Services,Industrials
JUBLINGREA,Jublingrea Ingrev.,Financial Services-Commodities,Financial Services,Commodities
TITAGARH,Titagarh Rail,Financial Services-Industrials,Financial Services,Industrials
ACE,Ace Const.Eq.,Financial Services-Industrials,Financial Services,Industrials
SHAILY,Shaily Engineer.,Financial Services-Industrials,Financial Services,Industrials
JYOTHYLAB,Jyothylab Labs,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
EUREKAFORB,Eurekaforb Forbes,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TDPOWERSYS,Tdpowersys Power Systems,Financial Services-Industrials,Financial Services,Industrials
WAAREERTL,Waareertl Renewab.,Financial Services-Industrials,Financial Services,Industrials
FINPIPE,Finpipe Inds.,Financial Services-Industrials,Financial Services,Industrials
SCI,Sci C I,Financial Services-Services,Financial Services,Services
RUBICON,Rubicon Research,Financial Services-Healthcare,Financial Services,Healthcare
SAFARI,Safari Inds.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ALIVUS,Alivus Life,Financial Services-Healthcare,Financial Services,Healthcare
GODREJAGRO,Godrejagro Agrovet,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
NCC,Ncc https,Financial Services-Industrials,Financial Services,Industrials
ENGINERSIN,Enginersin India,Oil & Gas-Industrials,Oil & Gas,Industrials
RAILTEL,Railtel Corpn.,Financial Services-Telecommunication,Financial Services,Telecommunication
EMBDL,Embdl Develop,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SANOFICONR,Sanoficonr Consumer,Financial Services-Healthcare,Financial Services,Healthcare
AZAD,Azad Engineering,Oil & Gas-Industrials,Oil & Gas,Industrials
OLECTRA,Olectra Greentec,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GRAPHITE,Graphite India,Financial Services-Industrials,Financial Services,Industrials
PVRINOX,Pvrinox Inox,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BSOFT,Bsoft Ltd,Financial Services-Information Technology,Financial Services,Information Technology
EDELWEISS,Edelweiss Fin.,Financial Services-Financial Services,Financial Services,Financial Services
GRINFRA,Grinfra R Infraproject,Financial Services-Industrials,Financial Services,Industrials
JINDALSAW,Jindalsaw Saw,Financial Services-Industrials,Financial Services,Industrials
UJJIVANSFB,Ujjivansfb Small,Financial Services-Financial Services,Financial Services,Financial Services
INOXINDIA,Inoxindia India,Financial Services-Industrials,Financial Services,Industrials
VIKRAMSOLR,Vikramsolr Solar,Financial Services-Industrials,Financial Services,Industrials
SANOFI,Sanofi India,Financial Services-Healthcare,Financial Services,Healthcare
VIJAYA,Vijaya Diagnost.,Financial Services-Healthcare,Financial Services,Healthcare
HFCL,Hfcl https,Financial Services-Telecommunication,Financial Services,Telecommunication
HCG,Hcg Global,Financial Services-Healthcare,Financial Services,Healthcare
RELAXO,Relaxo Footwear,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
METROPOLIS,Metropolis Healt,Financial Services-Healthcare,Financial Services,Healthcare
BANCOINDIA,Bancoindia Products,Oil & Gas-Consumer Discretionary,Oil & Gas,Consumer Discretionary
TI,Ti Inds.,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
GENUSPOWER,Genuspower Power,Financial Services-Industrials,Financial Services,Industrials
PRUDENT,Prudent Corp.,Financial Services-Financial Services,Financial Services,Financial Services
VARROC,Varroc Engineer,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SONATSOFTW,Sonatsoftw Software,Financial Services-Information Technology,Financial Services,Information Technology
SANSERA,Sansera Enginee.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
SOUTHBANK,Southbank Ind.Bank,Financial Services-Financial Services,Financial Services,Financial Services
LATENTVIEW,Latentview View,Financial Services-Information Technology,Financial Services,Information Technology
TTML,Ttml Tele. Mah.,Financial Services-Telecommunication,Financial Services,Telecommunication
JKLAKSHMI,Jklakshmi Lakshmi Cem.,Financial Services-Commodities,Financial Services,Commodities
SANDUMA,Sanduma Manganese,Oil & Gas-Energy,Oil & Gas,Energy
TIMETECHNO,Timetechno Technoplast,Financial Services-Industrials,Financial Services,Industrials
CLEAN,Clean Science,Financial Services-Commodities,Financial Services,Commodities
HEG,Heg https,Financial Services-Industrials,Financial Services,Industrials
RKFORGE,Rkforge Forg.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PGHL,Pghl & G Health Ltd,Financial Services-Healthcare,Financial Services,Healthcare
SKFINDIA,Skfindia India,Financial Services-Industrials,Financial Services,Industrials
VESUVIUS,Vesuvius India,Financial Services-Industrials,Financial Services,Industrials
BLUEJET,Bluejet Jet Health,Financial Services-Healthcare,Financial Services,Healthcare
NAZARA,Nazara Technolo.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
HAPPYFORGE,Happyforge Forgings,Financial Services-Industrials,Financial Services,Industrials
INDIASHLTR,Indiashltr SHELTE FIN,Financial Services-Financial Services,Financial Services,Financial Services
RHIM,Rhim Magnesita,Financial Services-Industrials,Financial Services,Industrials
KRBL,Krbl https,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ASKAUTOLTD,Askautoltd Automotive,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
JLHL,Jlhl Life Lin,Financial Services-Healthcare,Financial Services,Healthcare
GRWRHITECH,Grwrhitech Hi Tech,Financial Services-Industrials,Financial Services,Industrials
ZEEL,Zeel Entertainmen,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
THANGAMAYL,Thangamayl Jew.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
IIFLCAPS,Iiflcaps Capital,Financial Services-Financial Services,Financial Services,Financial Services
ABFRL,Abfrl Bir. Fas.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
MMTC,Mmtc https,Financial Services-Services,Financial Services,Services
HONASA,Honasa Consumer,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
MAPMYINDIA,Mapmyindia E. Info System,Financial Services-Information Technology,Financial Services,Information Technology
ASTRAMICRO,Astramicro Microwave,Financial Services-Industrials,Financial Services,Industrials
MEDPLUS,Medplus Health,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
TARIL,Taril R I L,Financial Services-Industrials,Financial Services,Industrials
TTKPRESTIG,Ttkprestig Prestige,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ORKLAINDIA,Orklaindia India,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ARVIND,Arvind Ltd,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
APOLLO,Apollo Micro Sys,Financial Services-Industrials,Financial Services,Industrials
LUMAXTECH,Lumaxtech Auto Tech.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BALRAMCHIN,Balramchin Chini,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
STARCEMENT,Starcement Cement,Financial Services-Commodities,Financial Services,Commodities
GMRP&UI,Gmrp&Ui Urban,Financial Services-Utilities,Financial Services,Utilities
CUPID,Cupid https,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
ALKYLAMINE,Alkylamine Amines,Financial Services-Commodities,Financial Services,Commodities
TEJASNET,Tejasnet Networks,Financial Services-Telecommunication,Financial Services,Telecommunication
KPIGREEN,Kpigreen Green Energy,Financial Services-Utilities,Financial Services,Utilities
BIRLACORPN,Birlacorpn Corpn.,Financial Services-Commodities,Financial Services,Commodities
TCI,Tci Corp.,Financial Services-Services,Financial Services,Services
BBOX,Bbox Box,Financial Services-Information Technology,Financial Services,Information Technology
NESCO,Nesco https,Financial Services-Services,Financial Services,Services
ESABINDIA,Esabindia India,Financial Services-Industrials,Financial Services,Industrials
LLOYDSENT,Lloydsent Enterpris,Financial Services-Commodities,Financial Services,Commodities
MARKSANS,Marksans Pharma,Financial Services-Healthcare,Financial Services,Healthcare
PGINVIT,Pginvit Infra.,Information Technology-Utilities,Information Technology,Utilities
TRANSRAILL,Transraill Light,Financial Services-Industrials,Financial Services,Industrials
WABAG,Wabag Tech Wabag,Financial Services-Utilities,Financial Services,Utilities
JSLL,Jsll Sikho,Financial Services-Healthcare,Financial Services,Healthcare
BLUESTONE,Bluestone Jewel,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GPPL,Gppl Pipavav Port,Financial Services-Services,Financial Services,Services
WESTLIFE,Westlife Food,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PNGJL,Pngjl N Gadgil Jewe.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
INOXGREEN,Inoxgreen Green,Financial Services-Utilities,Financial Services,Utilities
SHAKTIPUMP,Shaktipump Pumps,Financial Services-Industrials,Financial Services,Industrials
V2RETAIL,V2Retail Retail,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ALOKINDS,Alokinds Industries,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
RELIGARE,Religare Enterp.,Financial Services-Financial Services,Financial Services,Financial Services
WEWORK,Wework India,Financial Services-Services,Financial Services,Services
MAHLIFE,Mahlife Life.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
LOTUSDEV,Lotusdev Lotus,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BORORENEW,Bororenew Renew.,Financial Services-Industrials,Financial Services,Industrials
STAR,Star Pharma,Financial Services-Healthcare,Financial Services,Healthcare
SAPPHIRE,Sapphire Foods,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
VOLTAMP,Voltamp Transform.,Financial Services-Industrials,Financial Services,Industrials
THYROCARE,Thyrocare Tech.,Financial Services-Healthcare,Financial Services,Healthcare
RATEGAIN,Rategain Travel,Financial Services-Information Technology,Financial Services,Information Technology
RCF,Rcf C F,Financial Services-Commodities,Financial Services,Commodities
SUDARSCHEM,Sudarschem Chem.,Financial Services-Commodities,Financial Services,Commodities
PGIL,Pgil Global Ind,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
MTARTECH,Mtartech Technologie,Financial Services-Industrials,Financial Services,Industrials
CAMPUS,Campus Activewe.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
BECTORFOOD,Bectorfood Bectors,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
TRIVENI,Triveni Engg.Ind.,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
TMB,Tmb N Merc. Bank,Financial Services-Financial Services,Financial Services,Financial Services
MANORAMA,Manorama Indust.,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
PRICOLLTD,Pricolltd Ltd,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ETHOSLTD,Ethosltd Ltd,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
PCJEWELLER,Pcjeweller Jeweller,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
MAHSEAMLES,Mahseamles Seamless,Financial Services-Industrials,Financial Services,Industrials
TANLA,Tanla Platforms,Financial Services-Information Technology,Financial Services,Information Technology
DIACABS,Diacabs Power,Financial Services-Industrials,Financial Services,Industrials
HAPPSTMNDS,Happstmnds Minds,Financial Services-Information Technology,Financial Services,Information Technology
LLOYDSENGG,Lloydsengg Engineeri,Oil & Gas-Industrials,Oil & Gas,Industrials
KIRLFER,Kirlfer Ferrous,Financial Services-Commodities,Financial Services,Commodities
POWERMECH,Powermech Mech Proj.,Oil & Gas-Industrials,Oil & Gas,Industrials
MAXESTATES,Maxestates Estates,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
GSFC,Gsfc S F C,Financial Services-Commodities,Financial Services,Commodities
THOMASCOOK,Thomascook Cook (I),Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
ATLANTAELE,Atlantaele Electric,Financial Services-Industrials,Financial Services,Industrials
KALPATARU,Kalpataru https,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
WELENT,Welent Enterp,Oil & Gas-Industrials,Oil & Gas,Industrials
DBREALTY,Dbrealty Estate,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
AJAXENGG,Ajaxengg Engineering,Financial Services-Industrials,Financial Services,Industrials
YATHARTH,Yatharth Hospit.,Financial Services-Healthcare,Financial Services,Healthcare
GALAXYSURF,Galaxysurf Surfact.,Financial Services-Commodities,Financial Services,Commodities
EQUITASBNK,Equitasbnk Sma. Fin,Financial Services-Financial Services,Financial Services,Financial Services
GNFC,Gnfc N F C,Financial Services-Commodities,Financial Services,Commodities
SAREGAMA,Saregama India,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
DODLA,Dodla Dairy,Financial Services-Fast Moving Consumer Goods,Financial Services,Fast Moving Consumer Goods
SHARDACROP,Shardacrop Cropchem,Financial Services-Commodities,Financial Services,Commodities
CERA,Cera Sanitary.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
CSBBANK,Csbbank Bank,Financial Services-Financial Services,Financial Services,Financial Services
JAYNECOIND,Jaynecoind Neco,Financial Services-Industrials,Financial Services,Industrials
BALUFORGE,Baluforge Forge,Financial Services-Industrials,Financial Services,Industrials
KTKBANK,Ktkbank Bank,Financial Services-Financial Services,Financial Services,Financial Services
GARFIBRES,Garfibres Tech.,Financial Services-Consumer Discretionary,Financial Services,Consumer Discretionary
